normalized_phrase_id	canonical_phrase	current_state	current_reason_code	audit_state	audit_verdict	audit_basis	audit_confidence	rule_defect	raw_occurrence_count	raw_occurrence_ids	corrected_step04_family_ids	corrected_step04_family_states	audit_boundary
NP00011	счастливый амулет и город перестал дышать	HOLD	HOLD_ENTITY_COLLISION	HOLD	HOLD_CONFIRMED	PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	medium		1	"[""R001|results|0011""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00012	счастливый амулет глава	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high		1	"[""R001|results|0012""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00013	и город перестал дышать счастливый амулет глава	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high		1	"[""R001|results|0013""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00014	яндекс амулет	HOLD	HOLD_ENTITY_COLLISION	HOLD	HOLD_CONFIRMED	SEARCH_PLATFORM_OR_MEDIA_CONTEXT_UNRESOLVED	medium		1	"[""R001|results|0014""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00015	счастливый амулет яндекс	HOLD	HOLD_ENTITY_COLLISION	HOLD	HOLD_CONFIRMED	TITLE_LIKE_PRODUCT_WORD_COLLISION	medium		1	"[""R001|results|0015""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00016	амулет яндекс дзен	HOLD	HOLD_ENTITY_COLLISION	HOLD	HOLD_CONFIRMED	SEARCH_PLATFORM_OR_MEDIA_CONTEXT_UNRESOLVED	medium		1	"[""R001|results|0016""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00017	счастливый амулет яндекс дзен	HOLD	HOLD_ENTITY_COLLISION	HOLD	HOLD_CONFIRMED	TITLE_LIKE_PRODUCT_WORD_COLLISION	medium		1	"[""R001|results|0017""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00018	амулет а15	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_OR_MODEL	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	high		1	"[""R001|results|0018""]"	"[""F015""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00019	чери амулет а15	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_OR_MODEL	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	high		3	"[""R001|results|0019"",""R061|associations|0003"",""R065|associations|0001""]"	"[""F015""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00020	рассказ амулет	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high		1	"[""R001|results|0020""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00021	счастливый амулет рассказы	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high		2	"[""R001|results|0021"",""R062|associations|0003""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00022	амулет читать	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	HOLD	SHOULD_BE_HOLD_AMBIGUOUS	GENERIC_MEDIA_ACTION_MAY_BE_INFORMATIONAL_PRODUCT_RESEARCH	medium	GENERIC_MEDIA_ACTION_USED_WITHOUT_SUFFICIENT_CONTEXT	1	"[""R001|results|0022""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00023	счастливый амулет читать	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	RULE_DEFECT_REQUIRES_REPROCESSING	EXPLICIT_DIGITAL_MEDIA_CONSUMPTION_CONTEXT	high	GENERIC_MEDIA_ACTION_USED_WITHOUT_SUFFICIENT_CONTEXT	1	"[""R001|results|0023""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00024	где амулет	KEEP	KEEP_PLAUSIBLE_BUSINESS_FIT	KEEP	KEEP_CONFIRMED	FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	high		1	"[""R001|results|0024""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00025	какой амулет	KEEP	KEEP_PLAUSIBLE_BUSINESS_FIT	KEEP	KEEP_CONFIRMED	FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	high		1	"[""R001|results|0025""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00026	амулет черри	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_OR_MODEL	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_VEHICLE_BRAND_OR_MODEL_CONTEXT	high		1	"[""R001|results|0026""]"	"[""F015""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00027	амулет дзен читать	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_DIGITAL_MEDIA_CONSUMPTION_CONTEXT	high		1	"[""R001|results|0027""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00028	счастливый амулет дзен читать	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_DIGITAL_MEDIA_CONSUMPTION_CONTEXT	high		1	"[""R001|results|0028""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00029	купить амулет	KEEP	KEEP_DIRECT_BUSINESS_FIT	KEEP	KEEP_CONFIRMED	FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	high		1	"[""R001|results|0029""]"	"[""F002""]"	"[""strong in-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00030	счастливый амулет на дзене	HOLD	HOLD_ENTITY_COLLISION	HOLD	HOLD_CONFIRMED	TITLE_LIKE_PRODUCT_WORD_COLLISION	medium		1	"[""R001|results|0030""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00031	амулет дзен рассказы	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high		1	"[""R001|results|0031""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00032	счастливый амулет дзен рассказы	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high		1	"[""R001|results|0032""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00033	амулет 2	KEEP	KEEP_PLAUSIBLE_BUSINESS_FIT	KEEP	KEEP_CONFIRMED	FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	high		1	"[""R001|results|0033""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00034	счастливый амулет дзен и город перестал	HOLD	HOLD_ENTITY_COLLISION	HOLD	HOLD_CONFIRMED	PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	medium		1	"[""R001|results|0034""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00035	счастливый амулет дзен и город перестал дышать	HOLD	HOLD_ENTITY_COLLISION	HOLD	HOLD_CONFIRMED	PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	medium		1	"[""R001|results|0035""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00036	читать рассказы амулет	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high		1	"[""R001|results|0036""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00037	читать рассказ счастливый амулет	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high		1	"[""R001|results|0037""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00038	hollow knight амулеты	KEEP	KEEP_PLAUSIBLE_BUSINESS_FIT	EXCLUDE	FALSE_KEEP_TO_EXCLUDE	EXPLICIT_GAME_OR_GAME_ITEM_CONTEXT	high		1	"[""R001|results|0038""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00039	фильм амулет	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high		1	"[""R001|results|0039""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00040	амулет дзен рассказы читать	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high		1	"[""R001|results|0040""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00041	счастливый амулет дзен рассказы читать	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high		1	"[""R001|results|0041""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00042	рассказы на дзене амулет	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high		1	"[""R001|results|0042""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00043	рассказ на дзене счастливый амулет	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high		1	"[""R001|results|0043""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00044	амулет 1	KEEP	KEEP_PLAUSIBLE_BUSINESS_FIT	KEEP	KEEP_CONFIRMED	FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	high		1	"[""R001|results|0044""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00045	канал амулет	KEEP	KEEP_PLAUSIBLE_BUSINESS_FIT	HOLD	SHOULD_BE_HOLD_AMBIGUOUS	GENERIC_MEDIA_ACTION_MAY_BE_INFORMATIONAL_PRODUCT_RESEARCH	medium		1	"[""R001|results|0045""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00046	канал счастливый амулет	HOLD	HOLD_ENTITY_COLLISION	EXCLUDE	HOLD_CAN_RESOLVE_EXCLUDE	EXPLICIT_DIGITAL_MEDIA_CONSUMPTION_CONTEXT	high		1	"[""R001|results|0046""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00047	амулет на дзене читать	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	HOLD	SHOULD_BE_HOLD_AMBIGUOUS	GENERIC_MEDIA_ACTION_MAY_BE_INFORMATIONAL_PRODUCT_RESEARCH	medium	GENERIC_MEDIA_ACTION_USED_WITHOUT_SUFFICIENT_CONTEXT	1	"[""R001|results|0047""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00048	читать на на дзене счастливый амулет	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	RULE_DEFECT_REQUIRES_REPROCESSING	EXPLICIT_DIGITAL_MEDIA_CONSUMPTION_CONTEXT	high	GENERIC_MEDIA_ACTION_USED_WITHOUT_SUFFICIENT_CONTEXT	1	"[""R001|results|0048""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00049	счастливый амулет читать яндекс	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	RULE_DEFECT_REQUIRES_REPROCESSING	EXPLICIT_DIGITAL_MEDIA_CONSUMPTION_CONTEXT	high	GENERIC_MEDIA_ACTION_USED_WITHOUT_SUFFICIENT_CONTEXT	1	"[""R001|results|0049""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00050	счастливый амулет яндекс дзен читать	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_DIGITAL_MEDIA_CONSUMPTION_CONTEXT	high		1	"[""R001|results|0050""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00051	счастливый амулет дзен глава	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high		1	"[""R001|results|0051""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00052	амулет зла	KEEP	KEEP_PLAUSIBLE_BUSINESS_FIT	KEEP	KEEP_CONFIRMED	FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	high		1	"[""R001|results|0052""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00053	амулет дзен рассказы на дзене счастливый	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high		1	"[""R001|results|0053""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00054	счастливый амулет дзен читать на дзене	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_DIGITAL_MEDIA_CONSUMPTION_CONTEXT	high		1	"[""R001|results|0054""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00055	купить чери амулет	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_OR_MODEL	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	high		1	"[""R001|results|0055""]"	"[""F015""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00056	астрал амулет	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	HOLD	SHOULD_BE_HOLD_AMBIGUOUS	MEDIA_TITLE_VERSUS_PRODUCT_COLLISION	medium	GENERIC_MEDIA_ACTION_USED_WITHOUT_SUFFICIENT_CONTEXT	1	"[""R001|results|0056""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00057	астрал амулет зла	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	HOLD	SHOULD_BE_HOLD_AMBIGUOUS	MEDIA_TITLE_VERSUS_PRODUCT_COLLISION	medium	GENERIC_MEDIA_ACTION_USED_WITHOUT_SUFFICIENT_CONTEXT	1	"[""R001|results|0057""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00058	террария амулеты	EXCLUDE	EXCLUDE_EXPLICIT_GAME	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_GAME_OR_GAME_ITEM_CONTEXT	high		1	"[""R001|results|0058""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00059	бесплатные амулеты	KEEP	KEEP_PLAUSIBLE_BUSINESS_FIT	HOLD	SHOULD_BE_HOLD_AMBIGUOUS	GENERIC_MEDIA_ACTION_MAY_BE_INFORMATIONAL_PRODUCT_RESEARCH	medium		1	"[""R001|results|0059""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00060	амулеты скайрим	EXCLUDE	EXCLUDE_EXPLICIT_GAME	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_GAME_OR_GAME_ITEM_CONTEXT	high		1	"[""R001|results|0060""]"	"[""F016""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00061	амулет 3	KEEP	KEEP_PLAUSIBLE_BUSINESS_FIT	KEEP	KEEP_CONFIRMED	FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	high		1	"[""R001|results|0061""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00062	двигатель амулет	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_OR_MODEL	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	high		1	"[""R001|results|0062""]"	"[""F015""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00063	можно амулет	KEEP	KEEP_PLAUSIBLE_BUSINESS_FIT	KEEP	KEEP_CONFIRMED	FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	high		1	"[""R001|results|0063""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00064	получить амулет	KEEP	KEEP_PLAUSIBLE_BUSINESS_FIT	KEEP	KEEP_CONFIRMED	FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	high		1	"[""R001|results|0064""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00065	амулет зла фильм	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high		1	"[""R001|results|0065""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00066	астрал амулет фильм	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high		1	"[""R001|results|0066""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00067	астрал амулет зла фильм	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	high		1	"[""R001|results|0067""]"	"[""F017""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00068	амулет а 15	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_OR_MODEL	EXCLUDE	EXCLUSION_CONFIRMED	EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	high		1	"[""R001|results|0068""]"	"[""F015""]"	"[""obvious out-of-scope""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00069	амулет 2025	KEEP	KEEP_PLAUSIBLE_BUSINESS_FIT	KEEP	KEEP_CONFIRMED	FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	high		1	"[""R001|results|0069""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00070	амулет датчики	KEEP	KEEP_PLAUSIBLE_BUSINESS_FIT	EXCLUDE	FALSE_KEEP_TO_EXCLUDE	EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	high		1	"[""R001|results|0070""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00071	амулет зла 2025	KEEP	KEEP_PLAUSIBLE_BUSINESS_FIT	KEEP	KEEP_CONFIRMED	FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	high		1	"[""R001|results|0071""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
NP00072	астрал амулет зла 2025	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA	HOLD	SHOULD_BE_HOLD_AMBIGUOUS	MEDIA_TITLE_VERSUS_PRODUCT_COLLISION	medium	GENERIC_MEDIA_ACTION_USED_WITHOUT_SUFFICIENT_CONTEXT	1	"[""R001|results|0072""]"	"[""F025""]"	"[""mixed/ambiguous""]"	NO_SERP_USED; HOLD_PRESERVES_UNRESOLVED_INTENT
