query_a_id,query_a,query_b_id,query_b,exact_url_overlap_top10,domain_overlap_top10,url_union_top10,domain_union_top10,url_jaccard_top10,domain_jaccard_top10,shared_urls_top10,shared_domains_top10,comparison_scope,decision_scope
S06Q001,амулет,S06Q018,славянский символ,0,2,20,17,0.0,0.117647,,slavyanskieoberegi.ru | wildberries.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q019,талисман удачи,0,4,20,11,0.0,0.363636,,happywitch.ru | livemaster.ru | ozon.ru | wildberries.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q020,улитка,0,1,20,16,0.0,0.0625,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q021,фигурка будды,0,1,20,13,0.0,0.076923,,ozon.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q001,амулет,S06Q022,христианский символ,0,1,20,18,0.0,0.055556,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q003,талисман,0,1,20,12,0.0,0.083333,,ozon.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q004,аум,0,0,20,16,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q005,буддийский символ,0,0,20,14,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q006,ваджра,0,0,20,15,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q007,лотос,0,1,20,13,0.0,0.076923,,dzen.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q008,мантра,0,0,20,13,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q009,молот тора,0,2,20,12,0.0,0.166667,,ozon.ru | wildberries.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q010,мусульманский амулет,0,2,20,11,0.0,0.181818,,ozon.ru | wildberries.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q011,ом,0,0,20,16,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q012,подкова,0,1,20,12,0.0,0.083333,,ozon.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q013,руна,0,1,20,15,0.0,0.066667,,ozon.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q014,руна альгиз,0,0,20,16,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q015,руна отал,0,0,20,16,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q016,руна феху,0,0,20,16,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q017,славянский оберег,2,5,18,8,0.111111,0.625,https://blog.beregy.ru/slavyanskie-oberegi-i-ikh-znachenie/ | https://slavyanskieoberegi.ru/slavyanskie-oberegi/,blog.beregy.ru | dzen.ru | ozon.ru | slavyanskieoberegi.ru | wildberries.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q018,славянский символ,1,3,19,12,0.052632,0.25,https://slavyanskieoberegi.ru/slavyanskie-oberegi/,market.yandex.ru | slavyanskieoberegi.ru | wildberries.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q019,талисман удачи,0,3,20,8,0.0,0.375,,market.yandex.ru | ozon.ru | wildberries.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q020,улитка,0,0,20,13,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q021,фигурка будды,0,1,20,9,0.0,0.111111,,ozon.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q002,оберег,S06Q022,христианский символ,0,0,20,15,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q004,аум,0,2,20,15,0.0,0.133333,,ru.ruwiki.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q005,буддийский символ,0,2,20,13,0.0,0.153846,,ru.ruwiki.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q006,ваджра,0,1,20,15,0.0,0.066667,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q007,лотос,0,1,20,14,0.0,0.071429,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q008,мантра,0,2,20,12,0.0,0.166667,,ru.ruwiki.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q009,молот тора,0,2,20,13,0.0,0.153846,,ozon.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q010,мусульманский амулет,0,1,20,13,0.0,0.076923,,ozon.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q011,ом,0,2,20,15,0.0,0.133333,,kartaslov.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q012,подкова,0,1,20,13,0.0,0.076923,,ozon.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q013,руна,0,5,20,12,0.0,0.416667,,kartaslov.ru | ozon.ru | ru.ruwiki.ru | ru.wikipedia.org | ru.wiktionary.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q014,руна альгиз,0,1,20,16,0.0,0.0625,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q015,руна отал,0,1,20,16,0.0,0.0625,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q016,руна феху,0,2,20,15,0.0,0.133333,,ru.ruwiki.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q017,славянский оберег,0,1,20,13,0.0,0.076923,,ozon.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q018,славянский символ,0,0,20,16,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q019,талисман удачи,0,1,20,11,0.0,0.090909,,ozon.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q020,улитка,0,2,20,12,0.0,0.166667,,ru.ruwiki.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q021,фигурка будды,0,1,20,10,0.0,0.1,,ozon.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q003,талисман,S06Q022,христианский символ,0,2,20,14,0.0,0.142857,,ru.ruwiki.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q004,аум,S06Q005,буддийский символ,0,3,20,15,0.0,0.2,,oum.ru | ru.ruwiki.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q004,аум,S06Q006,ваджра,0,1,20,18,0.0,0.055556,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q004,аум,S06Q007,лотос,0,1,20,17,0.0,0.058824,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q004,аум,S06Q008,мантра,0,2,20,15,0.0,0.133333,,ru.ruwiki.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q004,аум,S06Q009,молот тора,0,1,20,17,0.0,0.058824,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q004,аум,S06Q010,мусульманский амулет,0,0,20,17,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q004,аум,S06Q011,ом,5,6,15,14,0.333333,0.428571,https://ashaindia.ru/aum-om/ | https://m.pravenc.ru/text/%D0%BE%D0%BC.html | https://mantra.study/articles/bidzha-mantry/mantra-om/ | https://ramayoga.ru/blog/philosophy/simvol-om-aum---oboznacheniye-i-obyasneniye-proiskhozhdeniya/ | https://ru.wikipedia.org/wiki/%D0%9E%D0%BC_(%D0%BC%D0%B0%D0%BD%D1%82%D1%80%D0%B0),ashaindia.ru | m.pravenc.ru | mantra.study | oum.ru | ramayoga.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q004,аум,S06Q012,подкова,0,0,20,17,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q004,аум,S06Q013,руна,0,2,20,18,0.0,0.111111,,ru.ruwiki.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q004,аум,S06Q014,руна альгиз,0,1,20,19,0.0,0.052632,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q004,аум,S06Q015,руна отал,0,1,20,19,0.0,0.052632,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q004,аум,S06Q016,руна феху,0,2,20,18,0.0,0.111111,,ru.ruwiki.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q004,аум,S06Q017,славянский оберег,0,0,20,17,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q004,аум,S06Q018,славянский символ,0,0,20,19,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q004,аум,S06Q019,талисман удачи,0,0,20,15,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q004,аум,S06Q020,улитка,0,2,20,15,0.0,0.133333,,ru.ruwiki.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q004,аум,S06Q021,фигурка будды,0,0,20,14,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q004,аум,S06Q022,христианский символ,0,2,20,17,0.0,0.117647,,ru.ruwiki.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q005,буддийский символ,S06Q006,ваджра,0,1,20,16,0.0,0.0625,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q005,буддийский символ,S06Q007,лотос,0,2,20,14,0.0,0.142857,,ru.pinterest.com | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q005,буддийский символ,S06Q008,мантра,0,2,20,13,0.0,0.153846,,ru.ruwiki.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q005,буддийский символ,S06Q009,молот тора,0,1,20,15,0.0,0.066667,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q005,буддийский символ,S06Q010,мусульманский амулет,0,0,20,15,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q005,буддийский символ,S06Q011,ом,0,2,20,16,0.0,0.125,,oum.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q005,буддийский символ,S06Q012,подкова,0,0,20,15,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q005,буддийский символ,S06Q013,руна,0,3,20,15,0.0,0.2,,happywitch.ru | ru.ruwiki.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q005,буддийский символ,S06Q014,руна альгиз,0,1,20,17,0.0,0.058824,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q005,буддийский символ,S06Q015,руна отал,0,1,20,17,0.0,0.058824,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q005,буддийский символ,S06Q016,руна феху,0,2,20,16,0.0,0.125,,ru.ruwiki.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q005,буддийский символ,S06Q017,славянский оберег,0,0,20,15,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q005,буддийский символ,S06Q018,славянский символ,0,1,20,16,0.0,0.0625,,ru.pinterest.com,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q005,буддийский символ,S06Q019,талисман удачи,0,1,20,12,0.0,0.083333,,happywitch.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q005,буддийский символ,S06Q020,улитка,0,2,20,13,0.0,0.153846,,ru.ruwiki.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q005,буддийский символ,S06Q021,фигурка будды,0,0,20,12,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q005,буддийский символ,S06Q022,христианский символ,0,2,20,15,0.0,0.133333,,ru.ruwiki.ru | ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q006,ваджра,S06Q007,лотос,0,1,20,16,0.0,0.0625,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q006,ваджра,S06Q008,мантра,0,1,20,15,0.0,0.066667,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q006,ваджра,S06Q009,молот тора,0,1,20,16,0.0,0.0625,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q006,ваджра,S06Q010,мусульманский амулет,0,0,20,16,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q006,ваджра,S06Q011,ом,0,2,20,17,0.0,0.117647,,ru.wikipedia.org | traditio.wiki,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q006,ваджра,S06Q012,подкова,0,0,20,16,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q006,ваджра,S06Q013,руна,0,1,20,18,0.0,0.055556,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q006,ваджра,S06Q014,руна альгиз,0,1,20,18,0.0,0.055556,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q006,ваджра,S06Q015,руна отал,0,1,20,18,0.0,0.055556,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q006,ваджра,S06Q016,руна феху,0,1,20,18,0.0,0.055556,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q006,ваджра,S06Q017,славянский оберег,0,0,20,16,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q006,ваджра,S06Q018,славянский символ,0,0,20,18,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q006,ваджра,S06Q019,талисман удачи,0,0,20,14,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q006,ваджра,S06Q020,улитка,0,1,20,15,0.0,0.066667,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q006,ваджра,S06Q021,фигурка будды,0,0,20,13,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q006,ваджра,S06Q022,христианский символ,0,1,20,17,0.0,0.058824,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q007,лотос,S06Q008,мантра,0,1,20,14,0.0,0.071429,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q007,лотос,S06Q009,молот тора,0,1,20,15,0.0,0.066667,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q007,лотос,S06Q010,мусульманский амулет,0,0,20,15,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q007,лотос,S06Q011,ом,0,2,20,16,0.0,0.125,,ru.wikipedia.org | znanierussia.ru,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q007,лотос,S06Q012,подкова,0,0,20,15,0.0,0.0,,,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q007,лотос,S06Q013,руна,0,1,20,17,0.0,0.058824,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q007,лотос,S06Q014,руна альгиз,0,1,20,17,0.0,0.058824,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q007,лотос,S06Q015,руна отал,0,1,20,17,0.0,0.058824,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
S06Q007,лотос,S06Q016,руна феху,0,1,20,17,0.0,0.058824,,ru.wikipedia.org,TOP10_EXACT_URL_AND_DOMAIN,EVIDENCE_ONLY_NOT_FINAL_CLUSTER_OR_PAGE
