family_id	family_label_plain_russian	family_definition	in_scope_boundary	out_of_scope_boundary	representative_phrases	normalized_identity_count	raw_occurrence_count	keep_identity_count	hold_identity_count	keep_raw_count	hold_raw_count	business_lineage	business_relevance_confidence	family_coherence_confidence	primary_user_task_hypothesis	intent_hint_not_final	final_intent_status	serp_cluster_status	ambiguity_classes	coverage_state	family_triage_state	expansion_needed	expansion_reason	sanitation_feedback_present	superseded_family_mapping_summary	uncertainty	frequency_used_for_family_decision	coherence_regression_gate
PSF011	Эффекты, защита и аудитории	Фразы о защите, удаче, деньгах, любви, аудитории или использовании.	Товарные слова/названия могут присутствовать.	Гарантии мистического, медицинского или иного эффекта.	"[""амулет защиты"",""амулет женщина"",""амулет ребенку"",""талисман удачи"",""амулет здоровья"",""амулет на удачу"",""денежный амулет"",""защитный амулет""]"	151	165	143	8	157	8	CLIENT_SUPPLIED_BRIEF: амулеты/обереги/талисманы; 76-card Ozon catalog; Russia	SUPPORTED_OR_PLAUSIBLE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Подобрать предмет под желаемую роль или аудиторию.	MIXED_PRODUCT_INFORMATIONAL_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	PRODUCT_VS_INFORMATION	OWNER_FACT_AND_CLAIM_BOUNDARY_GAP	MIXED_AMBIGUOUS	YES	Нужны допустимые клиентские формулировки без недоказанных обещаний.	YES	PSF011:151	Эффект и аудитория не подтверждены карточками.	NO	PASS_WITH_NONBLOCKING_FINDINGS
PSF012	Зодиак с товаром, формой или покупкой	Знак зодиака рядом с товарным словом, физической формой или покупкой.	Все 12 знаков представлены в Ozon; квалификатор указывает на предмет.	Вся астрология вообще, окончательная форма товара или отдельные страницы.	"[""амулет зодиака"",""талисман зодиака"",""кулон знак зодиака"",""купить знак зодиака"",""весы зодиак талисман"",""камни зодиаки оберег"",""обереги для зодиаков"",""талисман зодиака лев""]"	608	620	313	295	319	301	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	SUPPORTED_OR_PLAUSIBLE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Выбрать или купить предмет со знаком зодиака.	COMMERCIAL_OR_PRODUCT_RESEARCH_HINT_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	ZODIAC_PRODUCT_VS_ASTROLOGY_INFORMATION	OBSERVED_FULL_VOLUME	PLAUSIBLE_IN_SCOPE	YES	Физическая форма ряда требует owner fact и later evidence.	NO	PSF012:608	Не все формы и материалы подтверждены ассортиментом.	NO	PASS_WITH_NONBLOCKING_FINDINGS
PSF013	Камни, каталожные символы и зодиак: товарно-информационная коллизия	Камни/минералы вместе с товарным словом, каталожным символом или знаком зодиака.	Может описывать физический предмет/материал.	Автоматическое признание камня ассортиментом или чистой астрологией.	"[""алатырь камень"",""камень триглав"",""камень чернобог"",""камень даждьбога"",""алатырь бел камень"",""где камень алатырь"",""про камень алатырь"",""шлем из камня ужаса""]"	339	370	0	339	0	370	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	SUPPORTED_OR_PLAUSIBLE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Подобрать камень/предмет по символу, знаку или свойству.	MIXED_PRODUCT_INFORMATIONAL_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	ZODIAC_PRODUCT_VS_ASTROLOGY_INFORMATION	OBSERVED_LARGE_COLLISION_ZONE	MIXED_AMBIGUOUS	YES	Нужен client fact о материалах и поздняя SERP-проверка.	NO	PSF013:339	Материалы каталога не подтверждены, референт неоднозначен.	NO	PASS_WITH_NONBLOCKING_FINDINGS
PSF014	Знак зодиака без товарного уточнения	Зодиакальные названия без достаточного указания предмета, значения, media/visual/DIY/toy задачи или чужого контекста.	Название знака есть в каталоге.	Явная задача meaning/media/visual/DIY/toy, автоматический товарный вывод, финальная страница или чистая астрология.	"[""знак льва"",""знак овна"",""овен знак"",""лев зодиак"",""телец знак"",""знак тельца"",""зодиак дева"",""водолей знак""]"	6298	6795	0	6298	0	6795	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	AMBIGUOUS_BUSINESS_RELEVANCE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Найти объект или сведения, связанные со знаком.	REFERENT_AND_INTENT_UNKNOWN	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	ZODIAC_PRODUCT_VS_ASTROLOGY_INFORMATION	OBSERVED_LARGE_COLLISION_ZONE	MIXED_AMBIGUOUS	YES	Нужны товарные квалификаторы после факта о форме.	NO	PSF014:6298	Одно название знака не определяет задачу.	NO	PASS_WITH_NONBLOCKING_FINDINGS
PSF015	Зодиакальная информация и явная meaning-задача внутри HOLD	Даты, совместимость, характеристики, значения, история, описание и иные явные информационные задачи о зодиаке, сохранённые corrected Step03B в HOLD.	Сохраняется только как управляемая неопределённость текущего authority.	Скрытая переклассификация в EXCLUDE на Step04.	"[""водолей какой знак"",""козерог какой знак"",""знак зодиака рожден"",""знак зодиака сегодня"",""знак зодиака на завтра"",""знаки зодиака по годам"",""история знаков зодиака"",""значение знаков зодиака""]"	715	753	0	715	0	753	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	AMBIGUOUS_BUSINESS_RELEVANCE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Получить астрологическую справку либо связать её с предметом.	INFORMATIONAL_HINT_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	ZODIAC_PRODUCT_VS_ASTROLOGY_INFORMATION	OBSERVED_SANITATION_FEEDBACK_ZONE	SANITATION_LEAKAGE_REVIEW	NO	Expansion не нужен; требуется отдельная Step03B feedback adjudication.	YES	PSF015:543;PSF014:172	Семья выглядит преимущественно информационной, но Step03B не меняется здесь.	NO	PASS_WITH_NONBLOCKING_FINDINGS
PSF016	Зодиакальные изображения и символика	Фото, рисунки, символы, тату и визуальные представления знаков зодиака.	Каталог содержит варианты с маркером «Символы».	Вывод о физическом товаре или финальной странице только из визуального слова.	"[""тату знак зодиака"",""знаки зодиака фото"",""гиф знак зодиака лев"",""знаки зодиака символы"",""тату знак зодиака лев"",""тату знак зодиака рак"",""весы знак зодиака фото"",""дева знак зодиака обои""]"	289	291	0	289	0	291	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	SUPPORTED_OR_PLAUSIBLE_NOT_FINAL	DIAGNOSTIC_PASS_NOT_FINAL	Посмотреть визуальный знак или использовать изображение.	VISUAL_INFORMATIONAL_HINT_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	ZODIAC_PRODUCT_VS_ASTROLOGY_INFORMATION	OBSERVED_BOUNDARY_OPEN	MIXED_AMBIGUOUS	NO	Достаточно поздней построчной/SERP проверки.	NO	PSF016:275;PSF014:14	Визуальная задача не равна покупке товара.	NO	PASS
PSF017	Религиозный предмет, текст или практика	Молитва, мантра, церковь, икона или практика рядом с возможным физическим товаром/каталожным именем.	Некоторые имена и чётки присутствуют в каталоге.	Приравнивание текста/практики к продаваемому предмету.	"[""святые четки"",""святые амулеты"",""святые обереги"",""богородица четки"",""буддийские четки"",""талисман святого"",""буддийский амулет"",""буддистские четки""]"	234	236	43	191	44	192	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	SUPPORTED_OR_PLAUSIBLE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Найти предмет, текст или способ религиозной практики.	MIXED_INFORMATIONAL_PRODUCT_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	RELIGIOUS_PRODUCT_VS_PRACTICE	OWNER_FACT_AND_REFERENT_GAP	MIXED_AMBIGUOUS	YES	Сначала client fact о физическом представлении карточек.	YES	PSF017:234	Текущая фраза может обозначать текст, практику или предмет.	NO	PASS_WITH_NONBLOCKING_FINDINGS
PSF018	Медиа, заголовок и цифровое действие	Название/товарное слово пересекается с книгой, фильмом, сериалом, каналом или цифровым действием.	Физический товар остаётся одной из возможных трактовок только для HOLD.	Автоматический KEEP по товарному слову или EXCLUDE по одному media-глаголу.	"[""четки автор"",""четки видео"",""четки порно"",""амулет видео"",""амулет порно"",""оберег видео"",""сюжет оберег"",""талисман автор""]"	596	606	25	571	25	581	CLIENT_SUPPLIED_BRIEF: амулеты/обереги/талисманы; 76-card Ozon catalog; Russia	AMBIGUOUS_BUSINESS_RELEVANCE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Найти произведение/контент либо исследовать одноимённый предмет.	MEDIA_OR_PRODUCT_MIXED_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	PRODUCT_NAME_VS_MEDIA_TITLE	OBSERVED_SANITATION_FEEDBACK_ZONE	SANITATION_LEAKAGE_REVIEW	NO	Expansion не нужен; позднее evidence/feedback разрешит референт.	YES	PSF018:558;PSF014:38	Явность цифрового референта неодинакова внутри семьи.	NO	PASS_WITH_NONBLOCKING_FINDINGS
PSF019	Игра, игровой предмет или bounded model-token	Точные/ограниченные игровые формы, игра/мод/ID или именованная игра рядом с товарным или каталожным именем; `игруш*` сюда не входит.	HOLD сохраняет случаи без доказанного игрового референта.	Игрушка/игрушки без независимого game-сигнала; KEEP/EXCLUDE по одному broad prefix.	"[""талисманов играть"",""талисман летних игр"",""талисманом каких игр"",""талисман в майнкрафте"",""талисман игр 2014 года"",""где найти амулет террарии"",""талисманы олимпийских игр"",""айди амулета мары в скайриме""]"	88	89	16	72	16	73	CLIENT_SUPPLIED_BRIEF: амулеты/обереги/талисманы; 76-card Ozon catalog; Russia	AMBIGUOUS_BUSINESS_RELEVANCE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Найти игровой объект либо одноимённый физический предмет.	GAME_OR_PRODUCT_MIXED_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	GENERIC_PRODUCT_NOUN_NEEDS_REFERENT	OBSERVED_SANITATION_FEEDBACK_ZONE	SANITATION_LEAKAGE_REVIEW	YES	Для отдельных каталожных имён нужна bounded товарная квалификация later.	YES	PSF019:88	Часть generic tokens не доказывает конкретную игру.	NO	PASS_WITH_NONBLOCKING_FINDINGS
PSF020	Автомодель, деталь, краска или товар для машины	Коллизия поддержанного автомобильного use-case с маркой, моделью, деталью или краской.	Сценарий товара для машины разрешён клиентом.	Признание автодетали товаром клиента или отбрасывание use-case по слову модели.	"[""оберег краска"",""тормозные колодки амулет"",""дав авто"",""драйв авто"",""звезда лада"",""воск для авто"",""дала в машине"",""роды в машине""]"	57	76	2	55	2	74	CLIENT_SUPPLIED_BRIEF: амулеты/обереги/талисманы; 76-card Ozon catalog; Russia	AMBIGUOUS_BUSINESS_RELEVANCE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Отделить предмет для машины от обслуживания/детали автомобиля.	MIXED_AUTOMOTIVE_REFERENT_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	PRODUCT_VS_VEHICLE_MODEL_OR_PART	OBSERVED_SANITATION_FEEDBACK_ZONE	SANITATION_LEAKAGE_REVIEW	YES	Один bounded later probe допустим только для остающейся границы.	YES	PSF020:57	Товарное имя может совпадать с маркой/цветом/деталью.	NO	PASS_WITH_NONBLOCKING_FINDINGS
PSF021	Место, человек, организация или платформа	Каталожное/товарное слово пересекается с местом, персоной, организацией, командой или платформой.	HOLD сохраняет неразрешённый омоним.	Автоматический вывод по stem/token, особенно банк/дом/команда.	"[""талисман фк"",""завод оберег"",""обереги инны"",""амулет не заводится"",""фк знич"",""инн оберег"",""ооо амулет"",""ооо оберег""]"	168	168	4	164	4	164	CLIENT_SUPPLIED_BRIEF: амулеты/обереги/талисманы; 76-card Ozon catalog; Russia	AMBIGUOUS_BUSINESS_RELEVANCE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Уточнить сущность или найти одноимённый предмет.	ENTITY_OR_PRODUCT_MIXED_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	PRODUCT_NAME_VS_PERSON_PLACE_OR_ORGANIZATION	OBSERVED_SANITATION_FEEDBACK_ZONE	SANITATION_LEAKAGE_REVIEW	YES	Квалифицированные ветви нужны лишь для материальных каталожных имён.	YES	PSF021:168	Фраза не всегда доказывает чужую сущность.	NO	PASS_WITH_NONBLOCKING_FINDINGS
PSF022	Возможная форма слова «чётки» или опечатка	Формы `четка/чётка` и близкий шум, где referent не доказан.	Может быть товарной формой/опечаткой.	Автоматическое удаление stem `четк*` либо автоматический KEEP.	"[""четков"",""кс четка"",""ни четка"",""четка сон"",""гора четка"",""четка брат"",""четка поет"",""четка тела""]"	33	33	0	33	0	33	CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv; exact catalog names only; physical form mostly not stated	AMBIGUOUS_BUSINESS_RELEVANCE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Уточнить, идёт ли речь о чётках как предмете.	REFERENT_UNKNOWN	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	POSSIBLE_ROSARY_MORPHOLOGY_OR_TYPO	OBSERVED_SANITATION_FEEDBACK_ZONE	SANITATION_LEAKAGE_REVIEW	YES	Нужна bounded морфологическая проверка later.	YES	PSF022:33	Текущего написания недостаточно.	NO	PASS_WITH_NONBLOCKING_FINDINGS
PSF023	Общее товарное слово с неразрешённым референтом	Амулет/оберег/талисман в контексте, который не подтверждает ни товар, ни явную чужую сущность.	Клиентское слово сохраняет возможную связь.	KEEP/EXCLUDE только из-за одного business token.	"[""оберегая 1"",""оберегая мир"",""бог оберегает"",""оберегай мать"",""оберегай ноги"",""оберегать сон"",""оберегая воду"",""оберегая небо""]"	238	238	0	238	0	238	CLIENT_SUPPLIED_BRIEF: амулеты/обереги/талисманы; 76-card Ozon catalog; Russia	AMBIGUOUS_BUSINESS_RELEVANCE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Уточнить объект и задачу вокруг общего товарного слова.	REFERENT_UNKNOWN_INTENT_NOT_FINAL	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	GENERIC_PRODUCT_NOUN_NEEDS_REFERENT	OBSERVED_LARGE_COLLISION_ZONE	MIXED_AMBIGUOUS	NO	Нужна построчная Step10/SERP проверка, а не расширение.	NO	PSF023:238	Окружающий контекст недостаточен.	NO	PASS_WITH_NONBLOCKING_FINDINGS
PSF024	Остаточный недостаточный контекст	Фразы без достаточного товарного, информационного или сущностного референта.	Никакой окончательный вывод не делается.	Вынужденное решение ради полноты или частотности.	"[""car"",""ugn"",""v i"",""бес"",""дзе"",""екб"",""згу"",""иах""]"	708	855	0	708	0	855	CLIENT_SUPPLIED_BRIEF: амулеты/обереги/талисманы; 76-card Ozon catalog; Russia	AMBIGUOUS_BUSINESS_RELEVANCE_NOT_FINAL	DIAGNOSTIC_PASS_WITH_NONBLOCKING_HETEROGENEITY	Уточнить значение наблюдаемой формулировки.	UNKNOWN	NOT_FINAL_AT_STEP04	NOT_EVALUATED_AT_STEP04	GENERIC_PRODUCT_NOUN_NEEDS_REFERENT	OBSERVED_SANITATION_FEEDBACK_ZONE	SANITATION_LEAKAGE_REVIEW	NO	Сначала Step10/feedback, затем SERP при необходимости.	YES	PSF024:708	Семейный контекст остаётся слабым; часть строк может быть лексическим шумом.	NO	PASS_WITH_NONBLOCKING_FINDINGS
