competitor_authority_id,canonical_site,scope_policy,authority_status,discovered_urls,eligible_urls,inspected_urls,excluded_urls,inaccessible_urls,redirected_terminal_urls,candidate_yield_urls,no_candidate_urls,unresolved_urls,candidate_identity_count,coverage_reconciliation,terminal_coverage_status,unresolved_reason,started_at_utc,completed_at_utc,notes
S07A017,sokolov.ru,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,2,2,0,0,2,0,0,0,0,0,2=0+0+2+0+0,COMPLETE_WITH_INACCESSIBLE_EVIDENCE,INACCESSIBLE_CAPTCHA_OR_ANTI_BOT=2; target content unavailable; no bypass attempted.,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=2; inspected_target_content=0; inaccessible=2; raw page evidence unchanged.
S07A018,slavyanskieoberegi.ru,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,4,4,4,0,0,0,4,0,0,112,4=4+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=4; inspected_target_content=4; inaccessible=0; raw page evidence unchanged.
S07A019,happywitch.ru,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,4,4,4,0,0,0,4,0,0,35,4=4+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=4; inspected_target_content=4; inaccessible=0; raw page evidence unchanged.
S07A020,simvolroda.ru,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,2,2,2,0,0,0,2,0,0,40,2=2+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=2; inspected_target_content=2; inaccessible=0; raw page evidence unchanged.
S07A021,oum.ru,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,8,8,8,0,0,0,8,0,0,67,8=8+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=8; inspected_target_content=8; inaccessible=0; raw page evidence unchanged.
S07A022,azbyka.ru,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,4,4,4,0,0,0,2,2,0,5,4=4+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=4; inspected_target_content=4; inaccessible=0; raw page evidence unchanged.
S07A023,foma.ru,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,2,2,2,0,0,0,0,2,0,0,2=2+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=2; inspected_target_content=2; inaccessible=0; raw page evidence unchanged.
S07A024,pravoslavie.ru,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,1,1,1,0,0,0,0,1,0,0,1=1+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=1; inspected_target_content=1; inaccessible=0; raw page evidence unchanged.
S07A025,pravmir.ru,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,1,1,1,0,0,0,0,1,0,0,1=1+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=1; inspected_target_content=1; inaccessible=0; raw page evidence unchanged.
S07A026,actro.online,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,4,4,4,0,0,0,4,0,0,35,4=4+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=4; inspected_target_content=4; inaccessible=0; raw page evidence unchanged.
S07A027,goroskop365.ru,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,4,4,4,0,0,0,4,0,0,29,4=4+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=4; inspected_target_content=4; inaccessible=0; raw page evidence unchanged.
S07A028,elarus.ru,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,3,3,3,0,0,0,3,0,0,29,3=3+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=3; inspected_target_content=3; inaccessible=0; raw page evidence unchanged.
S07A029,lunaro.ru,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,3,3,3,0,0,0,3,0,0,39,3=3+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=3; inspected_target_content=3; inaccessible=0; raw page evidence unchanged.
S07A030,runarium.ru,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,3,3,3,0,0,0,3,0,0,30,3=3+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=3; inspected_target_content=3; inaccessible=0; raw page evidence unchanged.
S07A031,xn--80aejvmu5h.xn--80aswg,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,4,4,4,0,0,0,4,0,0,108,4=4+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=4; inspected_target_content=4; inaccessible=0; raw page evidence unchanged.
S07A032,blog.beregy.ru,THEME_SCOPED_PUBLIC_TAXONOMY,AUTHORIZED_STEP06,1,1,1,0,0,0,1,0,0,34,1=1+0+0+0+0,COMPLETE,NONE,2026-09-18T08:55:07Z,2026-09-18T08:55:07Z,POST_ACCEPTANCE_FULL_1976_CONTENT_REVALIDATION; competitor_rows=1; inspected_target_content=1; inaccessible=0; raw page evidence unchanged.
