family_id	original_family_label	original_triage_state	reference_family_or_boundary	external_method_tests_applied	business_fit_evidence	semantic_coherence_verdict	referent_entity_collision_verdict	ambiguity_handling_verdict	frequency_rule_verdict	provenance_verdict	coverage_state_verdict	audit_verdict	severity	recommended_correction	method_source_ids	method_source_urls	score_impact_points
F011	Заявленные эффекты, защита и аудитории	mixed/ambiguous	R09;R15	M02;M03;M04;M05	Observed: “сельский детектив чернобог” [count=630; run=14; results] contradicts the effect/audience label; catalog contains “Чернобог”, not that media work.	Core effect/audience boundary is valid, but membership is not coherent: “сельский детектив чернобог” is media wording, not audience/effect evidence.	A media referent escaped F017, apparently through a lexical substring shortcut.	FAIL_FOR_ONE_EXPLICIT_MEMBER; remaining effect/audience ambiguity is correctly held.	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PARTIAL	SPLIT_FAMILY	MATERIAL	Correct word-boundary logic; move “сельский детектив чернобог” to media and recompute the row counts/examples.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	-2
F012	Знак зодиака без достаточного товарного уточнения	mixed/ambiguous	R10;R11	M02;M03;M04;M05	Observed: знаки зодиака [count=3512863; run=36; authority: CLIENT_SUPPLIED_BRIEF.md:128-137,157-183; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv	Coherent holding boundary for short zodiac wording that can mean product or astrology.	Product-versus-astrology collision is explicit.	PASS	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_AS_IS	NONE	No correction.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	0
F013	Ассоциации провайдера без достаточного контекста	mixed/ambiguous	R20	M03;M04;M06;M09	Observed: машина [count=40686092; run=78; authority: CLIENT_SUPPLIED_BRIEF.md:128-137,157-183; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv	Associations are correctly treated as a discovery channel, not a semantic verdict.	Explicit foreign contexts may be separated, while unresolved related phrases remain held.	PASS	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_AS_IS	NONE	No correction.	S04-AUD-02;S04-AUD-04;S04-AUD-06;S04-AUD-07	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/	0
F014	Морфологический и лексический шум	obvious out-of-scope	R19	M03;M04;M05	Observed: четко [count=351857; run=4; authority: CLIENT_SUPPLIED_BRIEF.md:128-137,157-183; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv	Explicit morphology/lexical non-product contexts form a coherent noise family.	The row does not reject every token variant; it uses surrounding meaning.	PASS	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_AS_IS	NONE	No correction.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	0
F015	Chery Amulet, Renault Talisman и автозапчасти	obvious out-of-scope	R13;R18	M02;M03;M05	Observed: explicit Chery/Renault contexts plus “амулет краска для машины” [count=26; run=71]; client supports car-use talismans, not vehicle parts/paint.	Main vehicle-model/parts boundary is correct, but the label is narrower than all members: “амулет краска для машины” is another automotive product/color, not a model or part.	Chery/Renault collisions are correctly recognized.	PASS_FOR_SCOPE; wording/member subtype needs cleanup.	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_WITH_WORDING_FIX	MINOR	Broaden label to explicit automotive model/part/paint collisions or move the paint-color phrase to F022.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	-1
F016	Игры и игровые предметы	obvious out-of-scope	R14	M02;M03;M04;M05	Observed: амулеты скайрим [count=4687; run=1; authority: CLIENT_SUPPLIED_BRIEF.md:128-137,157-183; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv	Coherent explicit game/franchise boundary.	Gungnir/AWP/Assassin’s Creed, Skyrim/Mara and other game signals are separated by context.	PASS	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_AS_IS	NONE	No correction.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	0
F017	Книги, аудиокниги, сериалы, фильмы и музыка	obvious out-of-scope	R15;R01;R03	M02;M03;M04;M05	Observed: “счастливый амулет” [count=158188; run=1] has no media marker, while “счастливый амулет дзен” does; client sells amulets.	Explicit “дзен/книга/аудиокнига/песня/сериал” members are coherent media; unqualified “счастливый амулет” is not.	The unqualified phrase can still describe a product and therefore has an unresolved referent.	FAIL — unqualified ambiguity was forced to obvious out-of-scope.	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PARTIAL	SPLIT_FAMILY	MATERIAL	Keep explicit media markers out-of-scope; move bare “счастливый амулет” to mixed/ambiguous until later evidence.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	-2
F018	Города, адреса, организации и имена людей	obvious out-of-scope	R16	M02;M03;M04;M05	Observed: чувашия [count=1055131; run=16; authority: CLIENT_SUPPLIED_BRIEF.md:128-137,157-183; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv	Coherent explicit place/organization/person/brand boundary at preliminary level.	Short unresolved names are deliberately left in F008.	PASS	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_AS_IS	NONE	No correction.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	0
F019	AUM: промышленное оборудование и Аум Синрикё	obvious out-of-scope	R17	M02;M03;M04;M05	Observed: аум синрик [count=2208; run=32; authority: CLIENT_SUPPLIED_BRIEF.md:128-137,157-183; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv	Coherent AUMA industrial/Aum Shinrikyo collision boundary.	Context, not the token Аум alone, determines the out-of-scope referent.	PASS	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_AS_IS	NONE	No correction.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	0
F020	Мантры, молитвы и религиозная практика без товарного указания	obvious out-of-scope	R12	M02;M03;M04;M05	Observed: молитва о защите [count=35551; run=64; authority: CLIENT_SUPPLIED_BRIEF.md:128-137,157-183; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv	Coherent explicit prayer/mantra/practice boundary without a physical product noun.	Physical-product wording remains separate in F024/F029.	PASS	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_AS_IS	NONE	No correction.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	0
F021	Гороскопы, совместимость, даты и характеристики знаков	obvious out-of-scope	R11	M02;M03;M04;M05	Observed: какой знак зодиака [count=654584; run=36; authority: CLIENT_SUPPLIED_BRIEF.md:128-137,157-183; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv	Coherent explicit astrology/horoscope/compatibility/date user-purpose boundary.	Product-qualified zodiac wording is preserved separately.	PASS	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_AS_IS	NONE	No correction.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	0
F022	Другие явно несвязанные товары и сущности	obvious out-of-scope	R18;R01;R03	M02;M03;M04;M05	Observed: “талисман кота” [count=35272; run=3] is unqualified, unlike explicit perfume/pharmacy/tomato examples; client sells talismans broadly.	Most members have explicit unrelated-product markers; bare “талисман кота” does not establish a foreign product/entity.	The bare phrase can denote an animal-related amulet/product or a title/entity; current evidence cannot decide.	FAIL_FOR_UNQUALIFIED_MEMBER — forced out-of-scope instead of mixed.	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PARTIAL	SPLIT_FAMILY	MATERIAL	Keep perfume/pharmacy/tomato/etc. explicit contexts out-of-scope; move “талисман кота” to mixed/ambiguous.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	-1
F023	Остаточные фразы с недостаточным смысловым контекстом	mixed/ambiguous	R06;R07;R18;R19	M03;M04;M05;M09	Observed: оберегающая кукла [count=9348; run=2; authority: CLIENT_SUPPLIED_BRIEF.md:128-137,157-183; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv	A residual HOLD bucket is acceptable at Step04 because it does not claim final coherence.	Unresolved referents remain explicit rather than forced.	PASS	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS	KEEP_AS_IS	NONE	No correction; later row-level work must dissolve the residual bucket.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	0
F024	Молитвенная формулировка вместе с товарным словом	mixed/ambiguous	R12	M02;M03;M04;M10	Observed: молитва оберег [count=15010; run=2; authority: CLIENT_SUPPLIED_BRIEF.md:128-137,157-183; CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv	Coherent prayer-text/practice versus physical-product ambiguity.	The catalog title provides partial support but not form.	PASS	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS_CLIENT_FACT_ROUTE	KEEP_AS_IS	NONE	No correction.	S04-AUD-02;S04-AUD-04;S04-AUD-06;S04-AUD-07	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/	0
F025	Общее товарное слово в неразрешённом контексте	mixed/ambiguous	R01;R03;R04;R06;R18	M02;M03;M04;M05	Observed: “оберег для водителя и автомобиля” [count=44; run=75] directly matches the client-supported car-use scenario.	Residual ambiguity bucket is valid in principle, but it contains the explicit supported car-use phrase “оберег для водителя и автомобиля”.	That phrase has no competing vehicle-model referent and belongs with the supported use family.	FAIL_FOR_ONE_EXPLICIT_MEMBER; other residuals remain legitimately mixed.	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PARTIAL	SPLIT_FAMILY	MATERIAL	Move “оберег для водителя и автомобиля” to F003/R04 and recompute both family counts.	S04-AUD-03;S04-AUD-06;S04-AUD-07;S04-AUD-10;S04-AUD-11	https://webmaster.yandex.ru/blog/wordcraft-clusterization;https://ahrefs.com/blog/keyword-intent/;https://ahrefs.com/blog/topics-not-keywords/;https://www.semrush.com/blog/keyword-clustering/;https://www.semrush.com/blog/what-are-methods-for-keyword-clustering-and-topic-modeling/	-2
F026	RSOTM: текущий квалифицированный источник пуст	coverage gap / requires expansion	R21	M04;M05;M06;M10	Observed: NONE_CURRENT_SOURCE_RESULT; authority: CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv:source_row=1	A zero-observation outcome for a direct client title is a legitimate named coverage question.	No referent verdict is inferred from the empty response.	PASS	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS_GAP	KEEP_AS_IS	NONE	No correction.	S04-AUD-02;S04-AUD-04;S04-AUD-05;S04-AUD-06	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://yandex.ru/support2/wordstat/ru/content/operators;https://ahrefs.com/blog/keyword-intent/	0
F027	Soldier Of Fortune: текущий квалифицированный источник пуст	coverage gap / requires expansion	R21	M04;M05;M06;M10	Observed: NONE_CURRENT_SOURCE_RESULT; authority: CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv:source_row=2	A zero-observation outcome for a direct client title is a legitimate named coverage question.	Potential media/game meanings remain unresolved rather than assumed.	PASS	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS_GAP	KEEP_AS_IS	NONE	No correction.	S04-AUD-02;S04-AUD-04;S04-AUD-05;S04-AUD-06	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://yandex.ru/support2/wordstat/ru/content/operators;https://ahrefs.com/blog/keyword-intent/	0
F028	Бусидо — Путь Воина: текущий квалифицированный источник пуст	coverage gap / requires expansion	R21	M04;M05;M06;M10	Observed: NONE_CURRENT_SOURCE_RESULT; authority: CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv:source_row=3	A zero-observation outcome for a direct client title is a legitimate named coverage question.	Concept/book/martial-arts collisions are not guessed away.	PASS	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS_GAP	KEEP_AS_IS	NONE	No correction.	S04-AUD-02;S04-AUD-04;S04-AUD-05;S04-AUD-06	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://yandex.ru/support2/wordstat/ru/content/operators;https://ahrefs.com/blog/keyword-intent/	0
F029	Молитва Иоанн Златоуст: текущий квалифицированный источник пуст	coverage gap / requires expansion	R21;R12	M04;M05;M06;M10	Observed: NONE_CURRENT_SOURCE_RESULT; authority: CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv:source_row=37	The empty direct-title outcome plus unknown physical form is a legitimate conditional gap.	Prayer text/practice collision is explicit.	PASS	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS_CLIENT_FACT_FIRST	KEEP_AS_IS	NONE	No family correction; queue consolidation is recommended.	S04-AUD-02;S04-AUD-04;S04-AUD-05;S04-AUD-06	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://yandex.ru/support2/wordstat/ru/content/operators;https://ahrefs.com/blog/keyword-intent/	0
F030	Герб России: текущий квалифицированный источник пуст	coverage gap / requires expansion	R21	M04;M05;M06;M10	Observed: NONE_CURRENT_SOURCE_RESULT; authority: CLIENT_SUPPLIED_PRODUCT_CATALOG_OZON_76.csv:source_rows=75-76	The empty direct-title outcome is a legitimate conditional gap because two catalog cards exist but form is unknown.	No product form is invented.	PASS	PASS	PASS at family/run/seed/carrier level; exact occurrence→family membership is not durably published (global D14).	PASS_CLIENT_FACT_FIRST	KEEP_AS_IS	NONE	No correction.	S04-AUD-02;S04-AUD-04;S04-AUD-05;S04-AUD-06	https://yandex.ru/support/webmaster/ru/service/queries-selection;https://yandex.ru/support/webmaster/ru/recommendations/targeting?lang=ru;https://yandex.ru/support2/wordstat/ru/content/operators;https://ahrefs.com/blog/keyword-intent/	0
