competitor_authority_id,canonical_site,page_surface_lane_status,ranking_query_lane_status,ranking_query_source_system,ranking_query_source_snapshot,ranking_query_observation_count,ranking_query_unique_query_count,ranking_query_candidate_count,limitation_reason,overall_step07_discovery_status,notes
S07A011,ru.wiktionary.org,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A012,znanierussia.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A013,sibpodkova.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A014,artvaza.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A015,radugakamnya.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A016,tet-estet.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A017,sokolov.ru,COMPLETE_WITH_INACCESSIBLE_EVIDENCE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A018,slavyanskieoberegi.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A019,happywitch.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A020,simvolroda.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A021,oum.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A022,azbyka.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A023,foma.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A024,pravoslavie.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A025,pravmir.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A026,actro.online,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A027,goroskop365.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A028,elarus.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A029,lunaro.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A030,runarium.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A031,xn--80aejvmu5h.xn--80aswg,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
S07A032,blog.beregy.ru,COMPLETE,BLOCKED_SOURCE_UNAVAILABLE,NONE,NONE,0,0,0,APPROVED_SOURCE_UNAVAILABLE: Keys.so domain organic-keyword report requires login; API requires Professional/Corporate tariff and a personal token; no configured credential or approved accessible alternative exists in the Work environment.,INCOMPLETE_REQUIRED_RANKING_QUERY_LANE,"ZERO_ROWS_MEANS_BLOCKED_SOURCE_NOT_ZERO_OBSERVED_QUERIES; no credential, CAPTCHA, anti-bot or paywall bypass attempted; Step08 remains blocked."
