normalized_phrase_id	canonical_phrase	exact_normalized_key	raw_phrase_variants	raw_occurrence_count	all_raw_occurrence_ids	run_orders	seed_ids	seed_phrases	provider_request_ids	carrier_locators	channels	observed_count_values	exact_duplicate_count	implicit_duplicate_group_id	implicit_duplicate_state	canonicalization_reason	lineage_state	notes
NP00015	счастливый амулет яндекс	счастливый амулет яндекс	"[""счастливый амулет яндекс""]"	1	"[""R001|results|0015""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""23290""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00016	амулет яндекс дзен	амулет яндекс дзен	"[""амулет яндекс дзен""]"	1	"[""R001|results|0016""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""22577""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00017	счастливый амулет яндекс дзен	счастливый амулет яндекс дзен	"[""счастливый амулет яндекс дзен""]"	1	"[""R001|results|0017""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""22502""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00018	амулет а15	амулет а15	"[""амулет а15""]"	1	"[""R001|results|0018""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""22342""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00019	чери амулет а15	чери амулет а15	"[""чери амулет а15""]"	3	"[""R001|results|0019"",""R061|associations|0003"",""R065|associations|0001""]"	"[""1"",""61"",""65""]"	"[""S001"",""Q013"",""Q017""]"	"[""амулет"",""(амулет|оберег|талисман) Макошь"",""(амулет|оберег|талисман) Чур""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070"",""wordstat-e27f5e9b-7567-4ca8-bd8d-a8bc836ba4c7"",""wordstat-e18ad053-f536-4841-a47a-e0ec01db5c96""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt"",""STEP_03_WORDSTAT_RAW/MANUAL__061__wordstat-e27f5e9b-7567-4ca8-bd8d-a8bc836ba4c7.raw.txt"",""STEP_03_WORDSTAT_RAW/MANUAL__065__wordstat-e18ad053-f536-4841-a47a-e0ec01db5c96.raw.txt""]"	"[""results"",""associations""]"	"[""20865"",""20626""]"	2		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00020	рассказ амулет	рассказ амулет	"[""рассказ амулет""]"	1	"[""R001|results|0020""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""15872""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00021	счастливый амулет рассказы	счастливый амулет рассказы	"[""счастливый амулет рассказы""]"	2	"[""R001|results|0021"",""R062|associations|0003""]"	"[""1"",""62""]"	"[""S001"",""Q014""]"	"[""амулет"",""(амулет|оберег|талисман) Хорс""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070"",""wordstat-a508c682-ab59-41b1-9fab-f2cebcc440ed""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt"",""STEP_03_WORDSTAT_RAW/MANUAL__062__wordstat-a508c682-ab59-41b1-9fab-f2cebcc440ed.raw.txt""]"	"[""results"",""associations""]"	"[""15654"",""15538""]"	1		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00022	амулет читать	амулет читать	"[""амулет читать""]"	1	"[""R001|results|0022""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""15394""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00023	счастливый амулет читать	счастливый амулет читать	"[""счастливый амулет читать""]"	1	"[""R001|results|0023""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""15042""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00024	где амулет	где амулет	"[""где амулет""]"	1	"[""R001|results|0024""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""14808""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00025	какой амулет	какой амулет	"[""какой амулет""]"	1	"[""R001|results|0025""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""13095""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00026	амулет черри	амулет черри	"[""амулет черри""]"	1	"[""R001|results|0026""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""12897""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00027	амулет дзен читать	амулет дзен читать	"[""амулет дзен читать""]"	1	"[""R001|results|0027""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""12686""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00028	счастливый амулет дзен читать	счастливый амулет дзен читать	"[""счастливый амулет дзен читать""]"	1	"[""R001|results|0028""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""12680""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00029	купить амулет	купить амулет	"[""купить амулет""]"	1	"[""R001|results|0029""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""12350""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00030	счастливый амулет на дзене	счастливый амулет на дзене	"[""счастливый амулет на дзене""]"	1	"[""R001|results|0030""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""10782""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00031	амулет дзен рассказы	амулет дзен рассказы	"[""амулет дзен рассказы""]"	1	"[""R001|results|0031""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""10322""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00032	счастливый амулет дзен рассказы	счастливый амулет дзен рассказы	"[""счастливый амулет дзен рассказы""]"	1	"[""R001|results|0032""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""10300""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00033	амулет 2	амулет 2	"[""амулет 2""]"	1	"[""R001|results|0033""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""9711""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
NP00034	счастливый амулет дзен и город перестал	счастливый амулет дзен и город перестал	"[""счастливый амулет дзен и город перестал""]"	1	"[""R001|results|0034""]"	"[""1""]"	"[""S001""]"	"[""амулет""]"	"[""wordstat-86e7b86f-b118-4a08-b4bf-564b053de070""]"	"[""STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt""]"	"[""results""]"	"[""7657""]"	0		NONE	NFC_OUTER_TRIM_INTERNAL_WHITESPACE_COLLAPSE_CASEFOLD_COMPARISON_FIRST_OBSERVED_VARIANT	COMPLETE_ALL_RAW_OCCURRENCES_RETAINED	Counts are observed values, not summed independent demand; punctuation, digits and hyphens are preserved.
