competitor_authority_id,canonical_site,attempt1_inspected_urls,attempt1_inaccessible_urls,recovery_urls_attempted,recovery_inspected_urls,recovery_target_blocked_urls,recovery_environment_failure_urls,new_urls_discovered,page_evidence_rows,remaining_unresolved_or_environment_failure_urls,recovery_status,notes
S07A001,wildberries.ru,0,23,23,1,22,0,0,1,0,COMPLETE_WITH_TARGET_BLOCK_EVIDENCE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A012,znanierussia.ru,0,3,3,3,0,0,0,3,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A013,sibpodkova.ru,0,4,4,4,0,0,0,4,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A014,artvaza.ru,0,13,13,13,0,0,0,13,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A015,radugakamnya.ru,0,4,4,4,0,0,0,4,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A016,tet-estet.ru,0,3,3,3,0,0,0,3,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A017,sokolov.ru,0,2,2,0,2,0,0,0,0,COMPLETE_WITH_TARGET_BLOCK_EVIDENCE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A018,slavyanskieoberegi.ru,0,4,4,4,0,0,0,4,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A019,happywitch.ru,0,4,4,4,0,0,0,4,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A020,simvolroda.ru,0,2,2,2,0,0,0,2,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A021,oum.ru,0,8,8,8,0,0,0,8,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A022,azbyka.ru,0,4,4,4,0,0,0,4,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A023,foma.ru,0,2,2,2,0,0,0,2,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A024,pravoslavie.ru,0,1,1,1,0,0,0,1,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A025,pravmir.ru,0,1,1,1,0,0,0,1,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A026,actro.online,0,4,4,4,0,0,0,4,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A027,goroskop365.ru,0,4,4,4,0,0,0,4,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A028,elarus.ru,0,3,3,3,0,0,0,3,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A029,lunaro.ru,0,3,3,3,0,0,0,3,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A030,runarium.ru,0,3,3,3,0,0,0,3,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A031,xn--80aejvmu5h.xn--80aswg,0,4,4,4,0,0,0,4,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
S07A032,blog.beregy.ru,0,1,1,1,0,0,0,1,0,COMPLETE,Programmatic counts after Main Chat owner-connected Opera residual closure. Target blocks are legitimate target-side evidence; no execution-environment gaps remain.
