occurrence_id	run_order	seed_id	seed_phrase	provider_request_id	carrier_locator	channel	position	raw_phrase	raw_count	exact_normalized_key	normalized_phrase_id	implicit_duplicate_group_id	implicit_duplicate_state	collapsed_to_normalized_phrase_id	mapping_reason	notes
R001|results|0007	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	7	чере амулет	72556	чере амулет	NP00007		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0008	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	8	амулет город	41714	амулет город	NP00008		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0009	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	9	счастливый амулет и город	40209	счастливый амулет и город	NP00009		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0010	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	10	счастливый амулет и город перестал	39884	счастливый амулет и город перестал	NP00010		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0011	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	11	счастливый амулет и город перестал дышать	39538	счастливый амулет и город перестал дышать	NP00011		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0012	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	12	счастливый амулет глава	34940	счастливый амулет глава	NP00012		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0013	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	13	и город перестал дышать счастливый амулет глава	26166	и город перестал дышать счастливый амулет глава	NP00013		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0014	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	14	яндекс амулет	23390	яндекс амулет	NP00014		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0015	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	15	счастливый амулет яндекс	23290	счастливый амулет яндекс	NP00015		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0016	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	16	амулет яндекс дзен	22577	амулет яндекс дзен	NP00016		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0017	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	17	счастливый амулет яндекс дзен	22502	счастливый амулет яндекс дзен	NP00017		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0018	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	18	амулет а15	22342	амулет а15	NP00018		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0019	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	19	чери амулет а15	20865	чери амулет а15	NP00019		NONE	NP00019	COLLAPSED_EXACT_DUPLICATE_TO_ANALYTICAL_IDENTITY	Raw occurrence remains independently addressable in this ledger.
R061|associations|0003	61	Q013	(амулет|оберег|талисман) Макошь	wordstat-e27f5e9b-7567-4ca8-bd8d-a8bc836ba4c7	STEP_03_WORDSTAT_RAW/MANUAL__061__wordstat-e27f5e9b-7567-4ca8-bd8d-a8bc836ba4c7.raw.txt	associations	3	чери амулет а15	20626	чери амулет а15	NP00019		NONE	NP00019	COLLAPSED_EXACT_DUPLICATE_TO_ANALYTICAL_IDENTITY	Raw occurrence remains independently addressable in this ledger.
R065|associations|0001	65	Q017	(амулет|оберег|талисман) Чур	wordstat-e18ad053-f536-4841-a47a-e0ec01db5c96	STEP_03_WORDSTAT_RAW/MANUAL__065__wordstat-e18ad053-f536-4841-a47a-e0ec01db5c96.raw.txt	associations	1	чери амулет а15	20626	чери амулет а15	NP00019		NONE	NP00019	COLLAPSED_EXACT_DUPLICATE_TO_ANALYTICAL_IDENTITY	Raw occurrence remains independently addressable in this ledger.
R001|results|0020	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	20	рассказ амулет	15872	рассказ амулет	NP00020		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0021	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	21	счастливый амулет рассказы	15654	счастливый амулет рассказы	NP00021		NONE	NP00021	COLLAPSED_EXACT_DUPLICATE_TO_ANALYTICAL_IDENTITY	Raw occurrence remains independently addressable in this ledger.
R062|associations|0003	62	Q014	(амулет|оберег|талисман) Хорс	wordstat-a508c682-ab59-41b1-9fab-f2cebcc440ed	STEP_03_WORDSTAT_RAW/MANUAL__062__wordstat-a508c682-ab59-41b1-9fab-f2cebcc440ed.raw.txt	associations	3	счастливый амулет рассказы	15538	счастливый амулет рассказы	NP00021		NONE	NP00021	COLLAPSED_EXACT_DUPLICATE_TO_ANALYTICAL_IDENTITY	Raw occurrence remains independently addressable in this ledger.
R001|results|0022	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	22	амулет читать	15394	амулет читать	NP00022		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0023	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	23	счастливый амулет читать	15042	счастливый амулет читать	NP00023		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0024	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	24	где амулет	14808	где амулет	NP00024		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0025	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	25	какой амулет	13095	какой амулет	NP00025		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0026	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	26	амулет черри	12897	амулет черри	NP00026		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0027	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	27	амулет дзен читать	12686	амулет дзен читать	NP00027		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0028	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	28	счастливый амулет дзен читать	12680	счастливый амулет дзен читать	NP00028		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0029	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	29	купить амулет	12350	купить амулет	NP00029		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0030	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	30	счастливый амулет на дзене	10782	счастливый амулет на дзене	NP00030		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0031	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	31	амулет дзен рассказы	10322	амулет дзен рассказы	NP00031		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0032	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	32	счастливый амулет дзен рассказы	10300	счастливый амулет дзен рассказы	NP00032		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0033	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	33	амулет 2	9711	амулет 2	NP00033		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0034	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	34	счастливый амулет дзен и город перестал	7657	счастливый амулет дзен и город перестал	NP00034		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0035	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	35	счастливый амулет дзен и город перестал дышать	7601	счастливый амулет дзен и город перестал дышать	NP00035		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0036	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	36	читать рассказы амулет	7379	читать рассказы амулет	NP00036		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0037	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	37	читать рассказ счастливый амулет	7364	читать рассказ счастливый амулет	NP00037		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0038	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	38	hollow knight амулеты	7254	hollow knight амулеты	NP00038		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0039	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	39	фильм амулет	7099	фильм амулет	NP00039		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0040	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	40	амулет дзен рассказы читать	6740	амулет дзен рассказы читать	NP00040		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0041	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	41	счастливый амулет дзен рассказы читать	6737	счастливый амулет дзен рассказы читать	NP00041		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0042	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	42	рассказы на дзене амулет	6294	рассказы на дзене амулет	NP00042		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0043	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	43	рассказ на дзене счастливый амулет	6285	рассказ на дзене счастливый амулет	NP00043		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0044	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	44	амулет 1	6269	амулет 1	NP00044		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0045	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	45	канал амулет	6165	канал амулет	NP00045		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0046	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	46	канал счастливый амулет	6069	канал счастливый амулет	NP00046		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0047	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	47	амулет на дзене читать	5965	амулет на дзене читать	NP00047		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0048	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	48	читать на на дзене счастливый амулет	5958	читать на на дзене счастливый амулет	NP00048		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0049	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	49	счастливый амулет читать яндекс	5933	счастливый амулет читать яндекс	NP00049		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0050	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	50	счастливый амулет яндекс дзен читать	5908	счастливый амулет яндекс дзен читать	NP00050		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0051	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	51	счастливый амулет дзен глава	5875	счастливый амулет дзен глава	NP00051		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0052	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	52	амулет зла	5820	амулет зла	NP00052		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0053	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	53	амулет дзен рассказы на дзене счастливый	5741	амулет дзен рассказы на дзене счастливый	NP00053		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
R001|results|0054	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	54	счастливый амулет дзен читать на дзене	5592	счастливый амулет дзен читать на дзене	NP00054		NONE		ONE_TO_ONE_EXACT_NORMALIZED_KEY	Raw occurrence remains independently addressable in this ledger.
