query_id,query,source_serp_class,top10_target_rows,top10_adjacent_rows,top10_non_target_rows,top10_collision_rows,top10_uncertain_rows,target_purity_top10,dominant_page_type,dominant_page_type_count,query_intent_class,query_intent_confidence,collision_heavy_audit_flag,step06_treatment,top10_primary_rule,source_serp_class_status,accepted_intent_status,region_scope,device_scope,snapshot_scope,page_type_taxonomy_limitation,content_angle_scope,final_page_decision
S06Q001,амулет,COMMERCIAL_LED,10,0,0,0,0,1.0,MARKETPLACE_CATEGORY,4,COMMERCIAL_LED,HIGH,FALSE,TARGET_USABLE_SNAPSHOT,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q012,подкова,COMMERCIAL_LED,3,3,1,1,2,0.3,CATEGORY,5,UNCERTAIN,LOW,FALSE,UNCERTAIN_DO_NOT_FORCE,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q013,руна,INFORMATIONAL_LED,9,0,0,1,0,0.9,ARTICLE,4,INFORMATIONAL_LED,MEDIUM,FALSE,TARGET_USABLE_SNAPSHOT,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q014,руна альгиз,INFORMATIONAL_LED,10,0,0,0,0,1.0,ARTICLE,8,INFORMATIONAL_LED,HIGH,FALSE,TARGET_USABLE_SNAPSHOT,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q015,руна отал,INFORMATIONAL_LED,10,0,0,0,0,1.0,ARTICLE,9,INFORMATIONAL_LED,HIGH,FALSE,TARGET_USABLE_SNAPSHOT,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q016,руна феху,INFORMATIONAL_LED,10,0,0,0,0,1.0,ARTICLE,7,INFORMATIONAL_LED,HIGH,FALSE,TARGET_USABLE_SNAPSHOT,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q017,славянский оберег,COMMERCIAL_LED,10,0,0,0,0,1.0,MARKETPLACE_CATEGORY,3,COMMERCIAL_LED,MEDIUM,FALSE,TARGET_USABLE_SNAPSHOT,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q018,славянский символ,HYBRID_INFO_COMMERCE,9,1,0,0,0,0.9,ARTICLE,7,INFORMATIONAL_LED,MEDIUM,FALSE,TARGET_USABLE_SNAPSHOT,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q019,талисман удачи,COMMERCIAL_LED,10,0,0,0,0,1.0,MARKETPLACE_CATEGORY,9,COMMERCIAL_LED,HIGH,FALSE,TARGET_USABLE_SNAPSHOT,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q020,улитка,COLLISION_OR_MISMATCH,0,0,0,10,0,0.0,ENCYCLOPEDIA,5,COLLISION_OR_MISMATCH,HIGH,TRUE,COLLISION_HEAVY_REQUIRES_ROW_FILTERING,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q021,фигурка будды,COMMERCIAL_LED,10,0,0,0,0,1.0,PRODUCT,6,COMMERCIAL_LED,HIGH,FALSE,TARGET_USABLE_SNAPSHOT,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
S06Q022,христианский символ,INFORMATIONAL_LED,10,0,0,0,0,1.0,ARTICLE,8,INFORMATIONAL_LED,HIGH,FALSE,TARGET_USABLE_SNAPSHOT,Top-10 primary; Top-3 amplifier; positions 11-20 secondary discovery/evidence.,PRELIMINARY_PROVENANCE_ONLY,ACCEPTED_STEP06_TOP10_ANALYTICAL_PROFILE,RUSSIA_PROVIDER_REGION_225,NOT_CAPTURED_BY_CURRENT_SOURCE,BOUNDED_SINGLE_ACQUISITION,AUDIO_SURFACES_MAY_BE_COLLAPSED_TO_OTHER_IN_WORK_SCHEMA,DEFERRED_TO_LATER_CONTENT_PAGE_SPEC_STEP,NONE
