family_id	family_label	member_count	raw_occurrence_count	independent_topic_count	independent_topic_entropy_normalized	dominant_independent_topic_share	mean_assigned_centroid_similarity	nearest_other_centroid_override_rate	nearest_other_family_id	nearest_other_family_centroid_similarity	critical_rule_defect_rows	full_volume_finding	diagnostic_boundary	verdict
PSF011	Эффекты, защита и аудитории	151	165	22	0.721907	0.298013	0.223585	0.000000	PSF001	0.244938	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF012	Зодиак с товаром, формой или покупкой	608	620	25	0.584368	0.519737	0.174993	0.148026	PSF013	0.570807	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF013	Камни, каталожные символы и зодиак: товарно-информационная коллизия	339	370	17	0.437733	0.616519	0.322025	0.005900	PSF012	0.570807	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF014	Знак зодиака без товарного уточнения	6298	6795	28	0.689525	0.424420	0.106851	0.001905	PSF012	0.519809	0	Unqualified zodiac contains zero meaning/media/toy/DIY task leakage after complete zodiac blast-radius rerun.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF015	Зодиакальная информация и явная meaning-задача внутри HOLD	715	753	23	0.593908	0.471329	0.167464	0.023776	PSF014	0.498388	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF016	Зодиакальные изображения и символика	289	291	16	0.506373	0.536332	0.220891	0.027682	PSF008	0.567623	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS
PSF017	Религиозный предмет, текст или практика	234	236	16	0.600532	0.401709	0.248238	0.115385	PSF009	0.148790	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF018	Медиа, заголовок и цифровое действие	596	606	28	0.692988	0.389262	0.200571	0.055369	PSF021	0.229834	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF019	Игра, игровой предмет или bounded model-token	88	89	16	0.698313	0.215909	0.251869	0.022727	PSF018	0.073867	0	Game family uses bounded game morphology and contains zero TOY-without-GAME prefix collisions.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF020	Автомодель, деталь, краска или товар для машины	57	76	14	0.588996	0.385965	0.372277	0.087719	PSF024	0.244390	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF021	Место, человек, организация или платформа	168	168	20	0.617950	0.321429	0.278361	0.041667	PSF018	0.229834	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF022	Возможная форма слова «чётки» или опечатка	33	33	6	0.340528	0.545455	0.798969	0.000000	PSF018	0.016348	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF023	Общее товарное слово с неразрешённым референтом	238	238	20	0.676726	0.243697	0.230265	0.016807	PSF001	0.091073	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF024	Остаточный недостаточный контекст	708	855	25	0.639411	0.436441	0.118109	0.035311	PSF020	0.244390	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF025	Точные каталожные названия без текущей наблюдаемой ветви	0	0	0	0.000000	0.000000	NOT_APPLICABLE_ZERO_MEMBER_GAP	NOT_APPLICABLE_ZERO_MEMBER_GAP	NONE_ZERO_MEMBER_GAP	NOT_APPLICABLE_ZERO_MEMBER_GAP	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF026	Бренд «Кровь и Песок» с товарным уточнением	0	0	0	0.000000	0.000000	NOT_APPLICABLE_ZERO_MEMBER_GAP	NOT_APPLICABLE_ZERO_MEMBER_GAP	NONE_ZERO_MEMBER_GAP	NOT_APPLICABLE_ZERO_MEMBER_GAP	0	No material post-correction family defect found; lexical heterogeneity remains non-final diagnostic evidence.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS_WITH_NONBLOCKING_FINDINGS
PSF027	Изготовление, DIY и craft-задача	117	117	16	0.644534	0.230769	0.327826	0.017094	PSF011	0.078273	0	New task-bearing family captures bounded make/craft siblings without treating `связаться` or visual-only `сделать фото` as DIY.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS
PSF028	Игрушка и физический toy-объект	13	13	8	0.734857	0.307692	0.612366	0.000000	PSF014	0.060276	0	All observed `игруш*` rows are separated from game morphology; assortment relevance remains ambiguous.	TFIDF_AND_SIMULTANEOUS_SIGNALS_NOT_FINAL_INTENT_SERP_OR_PAGE	PASS
