site,canonical_site,registry_class,all_query_coverage_22,coverage_pct_22,all_top3_query_coverage_22,all_top10_query_coverage_22,all_serp_rows_440,best_rank_any,accepted_commercial_query_top10_coverage_6,accepted_commercial_query_top3_coverage_6,accepted_informational_query_top10_coverage_11,accepted_informational_query_top3_coverage_11,accepted_hybrid_query_top10_coverage_1,accepted_uncertain_query_top10_coverage_1,accepted_collision_mismatch_query_top10_coverage_3,collision_heavy_audit_query_top10_coverage_4,safe_query_subset_top10_coverage_17,safe_commercial_query_top10_coverage_6,safe_informational_query_top10_coverage_10,safe_hybrid_query_top10_coverage_1,registry_priority,registry_inclusion_basis,collision_dependency,evidence_queries,metric_granularity,hardening_status,hardening_note
ru.wiktionary.org,ru.wiktionary.org,BROAD_INFORMATIONAL,5,22.73,0,2,5,5,0,0,2,0,0,0,0,1,1,0,1,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,PARTIAL_COLLISION_CONTAMINATION,S06Q003 талисман #5; S06Q013 руна #9; S06Q007 лотос #14; S06Q008 мантра #16; S06Q020 улитка #17,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
znanierussia.ru,znanierussia.ru,BROAD_INFORMATIONAL,3,13.64,2,2,3,2,0,0,1,1,0,0,1,1,1,0,1,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,PARTIAL_COLLISION_CONTAMINATION,S06Q011 ом #2; S06Q007 лотос #3; S06Q001 амулет #12,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
sibpodkova.ru,sibpodkova.ru,CLUSTER_SPECIFIC_COMMERCIAL,1,4.55,1,1,4,2,0,0,0,0,0,1,0,0,0,0,0,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q012 подкова #2,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
artvaza.ru,artvaza.ru,CLUSTER_SPECIFIC_COMMERCIAL,1,4.55,0,1,13,4,1,0,0,0,0,0,0,0,1,1,0,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q021 фигурка будды #4,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
radugakamnya.ru,radugakamnya.ru,CLUSTER_SPECIFIC_COMMERCIAL,1,4.55,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,SECONDARY_DISCOVERY_ONLY,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q010 мусульманский амулет #12,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
tet-estet.ru,tet-estet.ru,CLUSTER_SPECIFIC_COMMERCIAL,1,4.55,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,SECONDARY_DISCOVERY_ONLY,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q010 мусульманский амулет #15,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
sokolov.ru,sokolov.ru,CLUSTER_SPECIFIC_COMMERCIAL,1,4.55,0,1,2,5,1,0,0,0,0,0,0,0,1,1,0,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q010 мусульманский амулет #5,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
slavyanskieoberegi.ru,slavyanskieoberegi.ru,SPECIALTY_COMMERCIAL,4,18.18,1,4,7,3,3,1,1,0,0,0,0,0,4,3,1,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q002 оберег #3; S06Q017 славянский оберег #4; S06Q001 амулет #5; S06Q018 славянский символ #5,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
happywitch.ru,happywitch.ru,SPECIALTY_COMMERCIAL_HYBRID,4,18.18,2,4,4,1,2,1,2,1,0,0,0,0,4,2,2,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q001 амулет #1; S06Q005 буддийский символ #2; S06Q013 руна #8; S06Q019 талисман удачи #9,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
simvolroda.ru,simvolroda.ru,SPECIALTY_COMMERCIAL_HYBRID,2,9.09,2,2,3,1,1,1,1,1,0,0,0,0,2,1,1,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q017 славянский оберег #1; S06Q018 славянский символ #3,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
oum.ru,oum.ru,THEMATIC_INFORMATIONAL,5,22.73,1,3,10,3,0,0,3,1,0,0,0,0,3,0,3,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q011 ом #3; S06Q004 аум #7; S06Q005 буддийский символ #8; S06Q006 ваджра #14; S06Q008 мантра #19,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
azbyka.ru,azbyka.ru,THEMATIC_INFORMATIONAL_CHRISTIAN,2,9.09,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,SECONDARY_DISCOVERY_ONLY,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q022 христианский символ #11; S06Q008 мантра #13,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
foma.ru,foma.ru,THEMATIC_INFORMATIONAL_CHRISTIAN,1,4.55,0,1,2,4,0,0,1,0,0,0,0,0,1,0,1,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q022 христианский символ #4,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
pravoslavie.ru,pravoslavie.ru,THEMATIC_INFORMATIONAL_CHRISTIAN,1,4.55,0,1,1,10,0,0,1,0,0,0,0,0,1,0,1,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q022 христианский символ #10,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
pravmir.ru,pravmir.ru,THEMATIC_INFORMATIONAL_CHRISTIAN,1,4.55,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,SECONDARY_DISCOVERY_ONLY,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q022 христианский символ #18,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
actro.online,actro.online,THEMATIC_INFORMATIONAL_RUNES,4,18.18,0,2,4,6,0,0,2,0,0,0,0,0,2,0,2,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q016 руна феху #6; S06Q015 руна отал #7; S06Q014 руна альгиз #19; S06Q013 руна #20,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
goroskop365.ru,goroskop365.ru,THEMATIC_INFORMATIONAL_RUNES,4,18.18,0,1,4,5,0,0,1,0,0,0,0,0,1,0,1,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q015 руна отал #5; S06Q014 руна альгиз #13; S06Q016 руна феху #16; S06Q013 руна #19,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
elarus.ru,elarus.ru,THEMATIC_INFORMATIONAL_RUNES,3,13.64,2,3,3,2,0,0,3,2,0,0,0,0,3,0,3,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q014 руна альгиз #2; S06Q015 руна отал #3; S06Q016 руна феху #4,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
lunaro.ru,lunaro.ru,THEMATIC_INFORMATIONAL_RUNES,3,13.64,1,2,3,2,0,0,2,1,0,0,0,0,2,0,2,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q015 руна отал #2; S06Q014 руна альгиз #4; S06Q016 руна феху #11,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
runarium.ru,runarium.ru,THEMATIC_INFORMATIONAL_RUNES,3,13.64,0,3,3,6,0,0,3,0,0,0,0,0,3,0,3,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q014 руна альгиз #6; S06Q015 руна отал #8; S06Q016 руна феху #9,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
славяне.сайт,xn--80aejvmu5h.xn--80aswg,THEMATIC_INFORMATIONAL_RUNES_SLAVIC,4,18.18,1,4,4,2,0,0,4,1,0,0,0,0,4,0,4,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q018 славянский символ #2; S06Q016 руна феху #7; S06Q014 руна альгиз #9; S06Q015 руна отал #9,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
blog.beregy.ru,blog.beregy.ru,THEMATIC_INFORMATIONAL_SLAVIC,2,9.09,0,2,2,4,2,0,0,0,0,0,0,0,2,2,0,0,PRIMARY_TOP10,CURATED_MATERIAL_SEARCH_SURFACE_FROM_165_DOMAIN_RECURRENCE; NO_NEW_ARBITRARY_NUMERIC_THRESHOLD,NONE,S06Q002 оберег #4; S06Q017 славянский оберег #9,QUERY_LEVEL_COVERAGE; NOT_ROW_LEVEL_TARGET_FILTER,FINAL_HARDENED_AFTER_EXTERNAL_METHOD_AUDIT,"Top-10 is primary. Accepted-intent denominators are recomputed after Work semantic hardening; stale preliminary 8/9 denominators removed. Collision-heavy and uncertain exposure remain explicit. Registry is curated, not exhaustive."
