raw_occurrence_id	normalized_phrase_id	canonical_phrase	raw_phrase	current_step03b_state	current_step03b_reason	step04_scope_state	post_sanitation_family_id	family_assignment_reason	family_context_supports_business	ambiguity_class	later_evidence_needed	source_seed_run_provenance_locator	historical_step04_family_id	historical_step04_family_label	historical_vs_new_family_relation	raw_observed_count_descriptive_only	frequency_used_for_assignment
R001|results|0004	NP00004	амулет дзен	амулет дзен	HOLD	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	HOLD_SEMANTIC_SCOPE	PSF018	REASON_BOUND_MEDIA_TITLE_OR_ACTION_COLLISION	MIXED	PRODUCT_NAME_VS_MEDIA_TITLE	SERP_REQUIRED	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=4	F017	Книги, аудиокниги, сериалы, фильмы и музыка	PRESERVED_OR_REFINED	79882	NO
R001|results|0005	NP00005	счастливый амулет дзен	счастливый амулет дзен	HOLD	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	HOLD_SEMANTIC_SCOPE	PSF018	REASON_BOUND_MEDIA_TITLE_OR_ACTION_COLLISION	MIXED	PRODUCT_NAME_VS_MEDIA_TITLE	SERP_REQUIRED	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=5	F017	Книги, аудиокниги, сериалы, фильмы и музыка	PRESERVED_OR_REFINED	79678	NO
R062|associations|0001	NP00005	счастливый амулет дзен	счастливый амулет дзен	HOLD	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	HOLD_SEMANTIC_SCOPE	PSF018	REASON_BOUND_MEDIA_TITLE_OR_ACTION_COLLISION	MIXED	PRODUCT_NAME_VS_MEDIA_TITLE	SERP_REQUIRED	run=62|seed=Q014|request=wordstat-a508c682-ab59-41b1-9fab-f2cebcc440ed|carrier=STEP_03_WORDSTAT_RAW/MANUAL__062__wordstat-a508c682-ab59-41b1-9fab-f2cebcc440ed.raw.txt|channel=associations|position=1	F017	Книги, аудиокниги, сериалы, фильмы и музыка	PRESERVED_OR_REFINED	79433	NO
R001|results|0006	NP00006	чери амулет	чери амулет	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	EXCLUDED_HISTORY	NOT_IN_STEP04_SEMANTIC_SCOPE	CORRECTED_STEP03B_EXCLUDE_PRESERVED_AS_HISTORY	NO	NONE_CURRENT_STEP03B_EXCLUDE	NONE	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=6	F015	Автомобильные модели, детали, краска/цвет и иные не-клиентские автотовары	EXCLUDED_HISTORY_NOT_RETRIAGED	72556	NO
R001|results|0007	NP00007	чере амулет	чере амулет	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_BRAND_OR_MODEL_CONTEXT	EXCLUDED_HISTORY	NOT_IN_STEP04_SEMANTIC_SCOPE	CORRECTED_STEP03B_EXCLUDE_PRESERVED_AS_HISTORY	NO	NONE_CURRENT_STEP03B_EXCLUDE	NONE	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=7	F015	Автомобильные модели, детали, краска/цвет и иные не-клиентские автотовары	EXCLUDED_HISTORY_NOT_RETRIAGED	72556	NO
R001|results|0008	NP00008	амулет город	амулет город	HOLD	HOLD_PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	HOLD_SEMANTIC_SCOPE	PSF021	REASON_BOUND_ENTITY_OR_PLATFORM_COLLISION	MIXED	PRODUCT_NAME_VS_PERSON_PLACE_OR_ORGANIZATION	SERP_REQUIRED	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=8	F017	Книги, аудиокниги, сериалы, фильмы и музыка	MOVED_BETWEEN_FAMILY_MEANINGS	41714	NO
R001|results|0009	NP00009	счастливый амулет и город	счастливый амулет и город	HOLD	HOLD_PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	HOLD_SEMANTIC_SCOPE	PSF021	REASON_BOUND_ENTITY_OR_PLATFORM_COLLISION	MIXED	PRODUCT_NAME_VS_PERSON_PLACE_OR_ORGANIZATION	SERP_REQUIRED	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=9	F025	Общее товарное слово в неразрешённом контексте	PRESERVED_OR_REFINED	40209	NO
R001|results|0010	NP00010	счастливый амулет и город перестал	счастливый амулет и город перестал	HOLD	HOLD_PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	HOLD_SEMANTIC_SCOPE	PSF021	REASON_BOUND_ENTITY_OR_PLATFORM_COLLISION	MIXED	PRODUCT_NAME_VS_PERSON_PLACE_OR_ORGANIZATION	SERP_REQUIRED	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=10	F025	Общее товарное слово в неразрешённом контексте	PRESERVED_OR_REFINED	39884	NO
R001|results|0011	NP00011	счастливый амулет и город перестал дышать	счастливый амулет и город перестал дышать	HOLD	HOLD_PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	HOLD_SEMANTIC_SCOPE	PSF021	REASON_BOUND_ENTITY_OR_PLATFORM_COLLISION	MIXED	PRODUCT_NAME_VS_PERSON_PLACE_OR_ORGANIZATION	SERP_REQUIRED	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=11	F017	Книги, аудиокниги, сериалы, фильмы и музыка	MOVED_BETWEEN_FAMILY_MEANINGS	39538	NO
R001|results|0012	NP00012	счастливый амулет глава	счастливый амулет глава	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	EXCLUDED_HISTORY	NOT_IN_STEP04_SEMANTIC_SCOPE	CORRECTED_STEP03B_EXCLUDE_PRESERVED_AS_HISTORY	NO	NONE_CURRENT_STEP03B_EXCLUDE	NONE	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=12	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXCLUDED_HISTORY_NOT_RETRIAGED	34940	NO
R001|results|0013	NP00013	и город перестал дышать счастливый амулет глава	и город перестал дышать счастливый амулет глава	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	EXCLUDED_HISTORY	NOT_IN_STEP04_SEMANTIC_SCOPE	CORRECTED_STEP03B_EXCLUDE_PRESERVED_AS_HISTORY	NO	NONE_CURRENT_STEP03B_EXCLUDE	NONE	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=13	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXCLUDED_HISTORY_NOT_RETRIAGED	26166	NO
R001|results|0014	NP00014	яндекс амулет	яндекс амулет	HOLD	HOLD_SEARCH_PLATFORM_OR_MEDIA_CONTEXT_UNRESOLVED	HOLD_SEMANTIC_SCOPE	PSF021	REASON_BOUND_ENTITY_OR_PLATFORM_COLLISION	MIXED	PRODUCT_NAME_VS_PERSON_PLACE_OR_ORGANIZATION	SERP_REQUIRED	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=14	F017	Книги, аудиокниги, сериалы, фильмы и музыка	MOVED_BETWEEN_FAMILY_MEANINGS	23390	NO
R001|results|0015	NP00015	счастливый амулет яндекс	счастливый амулет яндекс	HOLD	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	HOLD_SEMANTIC_SCOPE	PSF018	REASON_BOUND_MEDIA_TITLE_OR_ACTION_COLLISION	MIXED	PRODUCT_NAME_VS_MEDIA_TITLE	SERP_REQUIRED	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=15	F017	Книги, аудиокниги, сериалы, фильмы и музыка	PRESERVED_OR_REFINED	23290	NO
R001|results|0016	NP00016	амулет яндекс дзен	амулет яндекс дзен	HOLD	HOLD_SEARCH_PLATFORM_OR_MEDIA_CONTEXT_UNRESOLVED	HOLD_SEMANTIC_SCOPE	PSF021	REASON_BOUND_ENTITY_OR_PLATFORM_COLLISION	MIXED	PRODUCT_NAME_VS_PERSON_PLACE_OR_ORGANIZATION	SERP_REQUIRED	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=16	F017	Книги, аудиокниги, сериалы, фильмы и музыка	MOVED_BETWEEN_FAMILY_MEANINGS	22577	NO
R001|results|0017	NP00017	счастливый амулет яндекс дзен	счастливый амулет яндекс дзен	HOLD	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	HOLD_SEMANTIC_SCOPE	PSF018	REASON_BOUND_MEDIA_TITLE_OR_ACTION_COLLISION	MIXED	PRODUCT_NAME_VS_MEDIA_TITLE	SERP_REQUIRED	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=17	F017	Книги, аудиокниги, сериалы, фильмы и музыка	PRESERVED_OR_REFINED	22502	NO
R001|results|0018	NP00018	амулет а15	амулет а15	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	EXCLUDED_HISTORY	NOT_IN_STEP04_SEMANTIC_SCOPE	CORRECTED_STEP03B_EXCLUDE_PRESERVED_AS_HISTORY	NO	NONE_CURRENT_STEP03B_EXCLUDE	NONE	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=18	F015	Автомобильные модели, детали, краска/цвет и иные не-клиентские автотовары	EXCLUDED_HISTORY_NOT_RETRIAGED	22342	NO
R001|results|0019	NP00019	чери амулет а15	чери амулет а15	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	EXCLUDED_HISTORY	NOT_IN_STEP04_SEMANTIC_SCOPE	CORRECTED_STEP03B_EXCLUDE_PRESERVED_AS_HISTORY	NO	NONE_CURRENT_STEP03B_EXCLUDE	NONE	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=19	F015	Автомобильные модели, детали, краска/цвет и иные не-клиентские автотовары	EXCLUDED_HISTORY_NOT_RETRIAGED	20865	NO
R061|associations|0003	NP00019	чери амулет а15	чери амулет а15	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	EXCLUDED_HISTORY	NOT_IN_STEP04_SEMANTIC_SCOPE	CORRECTED_STEP03B_EXCLUDE_PRESERVED_AS_HISTORY	NO	NONE_CURRENT_STEP03B_EXCLUDE	NONE	run=61|seed=Q013|request=wordstat-e27f5e9b-7567-4ca8-bd8d-a8bc836ba4c7|carrier=STEP_03_WORDSTAT_RAW/MANUAL__061__wordstat-e27f5e9b-7567-4ca8-bd8d-a8bc836ba4c7.raw.txt|channel=associations|position=3	F015	Автомобильные модели, детали, краска/цвет и иные не-клиентские автотовары	EXCLUDED_HISTORY_NOT_RETRIAGED	20626	NO
R065|associations|0001	NP00019	чери амулет а15	чери амулет а15	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_MODEL_OR_PART_CONTEXT	EXCLUDED_HISTORY	NOT_IN_STEP04_SEMANTIC_SCOPE	CORRECTED_STEP03B_EXCLUDE_PRESERVED_AS_HISTORY	NO	NONE_CURRENT_STEP03B_EXCLUDE	NONE	run=65|seed=Q017|request=wordstat-e18ad053-f536-4841-a47a-e0ec01db5c96|carrier=STEP_03_WORDSTAT_RAW/MANUAL__065__wordstat-e18ad053-f536-4841-a47a-e0ec01db5c96.raw.txt|channel=associations|position=1	F015	Автомобильные модели, детали, краска/цвет и иные не-клиентские автотовары	EXCLUDED_HISTORY_NOT_RETRIAGED	20626	NO
R001|results|0020	NP00020	рассказ амулет	рассказ амулет	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	EXCLUDED_HISTORY	NOT_IN_STEP04_SEMANTIC_SCOPE	CORRECTED_STEP03B_EXCLUDE_PRESERVED_AS_HISTORY	NO	NONE_CURRENT_STEP03B_EXCLUDE	NONE	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=20	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXCLUDED_HISTORY_NOT_RETRIAGED	15872	NO
R001|results|0021	NP00021	счастливый амулет рассказы	счастливый амулет рассказы	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	EXCLUDED_HISTORY	NOT_IN_STEP04_SEMANTIC_SCOPE	CORRECTED_STEP03B_EXCLUDE_PRESERVED_AS_HISTORY	NO	NONE_CURRENT_STEP03B_EXCLUDE	NONE	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=21	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXCLUDED_HISTORY_NOT_RETRIAGED	15654	NO
R062|associations|0003	NP00021	счастливый амулет рассказы	счастливый амулет рассказы	EXCLUDE	EXCLUDE_EXPLICIT_MEDIA_WORK_OR_EPISODE_CONTEXT	EXCLUDED_HISTORY	NOT_IN_STEP04_SEMANTIC_SCOPE	CORRECTED_STEP03B_EXCLUDE_PRESERVED_AS_HISTORY	NO	NONE_CURRENT_STEP03B_EXCLUDE	NONE	run=62|seed=Q014|request=wordstat-a508c682-ab59-41b1-9fab-f2cebcc440ed|carrier=STEP_03_WORDSTAT_RAW/MANUAL__062__wordstat-a508c682-ab59-41b1-9fab-f2cebcc440ed.raw.txt|channel=associations|position=3	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXCLUDED_HISTORY_NOT_RETRIAGED	15538	NO
R001|results|0022	NP00022	амулет читать	амулет читать	HOLD	HOLD_GENERIC_MEDIA_ACTION_MAY_BE_INFORMATIONAL_PRODUCT_RESEARCH	HOLD_SEMANTIC_SCOPE	PSF018	REASON_BOUND_MEDIA_TITLE_OR_ACTION_COLLISION	MIXED	PRODUCT_NAME_VS_MEDIA_TITLE	SERP_REQUIRED	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=22	F017	Книги, аудиокниги, сериалы, фильмы и музыка	PRESERVED_OR_REFINED	15394	NO
R001|results|0023	NP00023	счастливый амулет читать	счастливый амулет читать	EXCLUDE	EXCLUDE_EXPLICIT_DIGITAL_MEDIA_CONSUMPTION_CONTEXT	EXCLUDED_HISTORY	NOT_IN_STEP04_SEMANTIC_SCOPE	CORRECTED_STEP03B_EXCLUDE_PRESERVED_AS_HISTORY	NO	NONE_CURRENT_STEP03B_EXCLUDE	NONE	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=23	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXCLUDED_HISTORY_NOT_RETRIAGED	15042	NO
R001|results|0024	NP00024	где амулет	где амулет	KEEP	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	ACTIVE_SEMANTIC_SCOPE	PSF001	SUPPORTED_GENERIC_PRODUCT_UNQUALIFIED	YES	GENERIC_PRODUCT_NOUN_NEEDS_REFERENT	STEP10	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=24	F025	Общее товарное слово в неразрешённом контексте	PRESERVED_OR_REFINED	14808	NO
R001|results|0025	NP00025	какой амулет	какой амулет	KEEP	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	ACTIVE_SEMANTIC_SCOPE	PSF001	SUPPORTED_GENERIC_PRODUCT_UNQUALIFIED	YES	GENERIC_PRODUCT_NOUN_NEEDS_REFERENT	STEP10	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=25	F025	Общее товарное слово в неразрешённом контексте	PRESERVED_OR_REFINED	13095	NO
R001|results|0026	NP00026	амулет черри	амулет черри	EXCLUDE	EXCLUDE_EXPLICIT_VEHICLE_BRAND_OR_MODEL_CONTEXT	EXCLUDED_HISTORY	NOT_IN_STEP04_SEMANTIC_SCOPE	CORRECTED_STEP03B_EXCLUDE_PRESERVED_AS_HISTORY	NO	NONE_CURRENT_STEP03B_EXCLUDE	NONE	run=1|seed=S001|request=wordstat-86e7b86f-b118-4a08-b4bf-564b053de070|carrier=STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt|channel=results|position=26	F015	Автомобильные модели, детали, краска/цвет и иные не-клиентские автотовары	EXCLUDED_HISTORY_NOT_RETRIAGED	12897	NO
