occurrence_id	run_order	seed_id	seed_phrase	provider_request_id	carrier_locator	channel	position	phrase	count	family_id	family_label	assignment_reason_code	assignment_rule	business_fit_state	ambiguity_state	notes
R001|results|0011	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	11	счастливый амулет и город перестал дышать	39538	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	C02_HAPPY_AMULET_EXPLICIT_MEDIA_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0012	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	12	счастливый амулет глава	34940	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	C02_HAPPY_AMULET_EXPLICIT_MEDIA_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0013	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	13	и город перестал дышать счастливый амулет глава	26166	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	C02_HAPPY_AMULET_EXPLICIT_MEDIA_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0014	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	14	яндекс амулет	23390	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	BASE_F017_RULE_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0015	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	15	счастливый амулет яндекс	23290	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	C02_HAPPY_AMULET_EXPLICIT_MEDIA_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0016	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	16	амулет яндекс дзен	22577	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	BASE_F017_RULE_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0017	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	17	счастливый амулет яндекс дзен	22502	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	C02_HAPPY_AMULET_EXPLICIT_MEDIA_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0018	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	18	амулет а15	22342	F015	Автомобильные модели, детали, краска/цвет и иные не-клиентские автотовары	EXPLICIT_VEHICLE_MODEL_PART_PAINT_OR_FIT_CONTEXT	BASE_F015_RULE_RETAINED	EXPLICITLY_DIFFERENT_PRODUCT_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0019	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	19	чери амулет а15	20865	F015	Автомобильные модели, детали, краска/цвет и иные не-клиентские автотовары	EXPLICIT_VEHICLE_MODEL_PART_PAINT_OR_FIT_CONTEXT	BASE_F015_RULE_RETAINED	EXPLICITLY_DIFFERENT_PRODUCT_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0020	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	20	рассказ амулет	15872	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	BASE_F017_RULE_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0021	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	21	счастливый амулет рассказы	15654	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	C02_HAPPY_AMULET_EXPLICIT_MEDIA_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0022	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	22	амулет читать	15394	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	BASE_F017_RULE_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0023	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	23	счастливый амулет читать	15042	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	C02_HAPPY_AMULET_EXPLICIT_MEDIA_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0024	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	24	где амулет	14808	F025	Общее товарное слово в неразрешённом контексте	GENERIC_PRODUCT_WORD_REFERENT_UNRESOLVED	BASE_F025_RULE_RETAINED	CLIENT_WORD_PRESENT; REFERENT_UNRESOLVED	MATERIAL / PRESERVED	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0025	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	25	какой амулет	13095	F025	Общее товарное слово в неразрешённом контексте	GENERIC_PRODUCT_WORD_REFERENT_UNRESOLVED	BASE_F025_RULE_RETAINED	CLIENT_WORD_PRESENT; REFERENT_UNRESOLVED	MATERIAL / PRESERVED	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0026	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	26	амулет черри	12897	F015	Автомобильные модели, детали, краска/цвет и иные не-клиентские автотовары	EXPLICIT_VEHICLE_MODEL_PART_PAINT_OR_FIT_CONTEXT	BASE_F015_RULE_RETAINED	EXPLICITLY_DIFFERENT_PRODUCT_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0027	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	27	амулет дзен читать	12686	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	BASE_F017_RULE_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0028	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	28	счастливый амулет дзен читать	12680	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	C02_HAPPY_AMULET_EXPLICIT_MEDIA_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0029	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	29	купить амулет	12350	F002	Общие товарные слова с явным коммерческим модификатором	CLIENT_PRODUCT_TERM_PLUS_COMMERCIAL_MODIFIER	BASE_F002_RULE_RETAINED	DIRECT_CLIENT_BUSINESS_WORDING	LOW: product class is supported; exact intent/page remains undecided	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0030	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	30	счастливый амулет на дзене	10782	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	C02_HAPPY_AMULET_EXPLICIT_MEDIA_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0031	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	31	амулет дзен рассказы	10322	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	BASE_F017_RULE_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0032	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	32	счастливый амулет дзен рассказы	10300	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	C02_HAPPY_AMULET_EXPLICIT_MEDIA_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0033	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	33	амулет 2	9711	F025	Общее товарное слово в неразрешённом контексте	GENERIC_PRODUCT_WORD_REFERENT_UNRESOLVED	BASE_F025_RULE_RETAINED	CLIENT_WORD_PRESENT; REFERENT_UNRESOLVED	MATERIAL / PRESERVED	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0034	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	34	счастливый амулет дзен и город перестал	7657	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	C02_HAPPY_AMULET_EXPLICIT_MEDIA_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0035	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	35	счастливый амулет дзен и город перестал дышать	7601	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	C02_HAPPY_AMULET_EXPLICIT_MEDIA_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0036	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	36	читать рассказы амулет	7379	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	BASE_F017_RULE_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0037	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	37	читать рассказ счастливый амулет	7364	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	C02_HAPPY_AMULET_EXPLICIT_MEDIA_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0038	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	38	hollow knight амулеты	7254	F025	Общее товарное слово в неразрешённом контексте	GENERIC_PRODUCT_WORD_REFERENT_UNRESOLVED	BASE_F025_RULE_RETAINED	CLIENT_WORD_PRESENT; REFERENT_UNRESOLVED	MATERIAL / PRESERVED	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0039	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	39	фильм амулет	7099	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	BASE_F017_RULE_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0040	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	40	амулет дзен рассказы читать	6740	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	BASE_F017_RULE_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0041	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	41	счастливый амулет дзен рассказы читать	6737	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	C02_HAPPY_AMULET_EXPLICIT_MEDIA_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0042	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	42	рассказы на дзене амулет	6294	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	BASE_F017_RULE_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0043	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	43	рассказ на дзене счастливый амулет	6285	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	C02_HAPPY_AMULET_EXPLICIT_MEDIA_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0044	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	44	амулет 1	6269	F025	Общее товарное слово в неразрешённом контексте	GENERIC_PRODUCT_WORD_REFERENT_UNRESOLVED	BASE_F025_RULE_RETAINED	CLIENT_WORD_PRESENT; REFERENT_UNRESOLVED	MATERIAL / PRESERVED	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0045	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	45	канал амулет	6165	F025	Общее товарное слово в неразрешённом контексте	GENERIC_PRODUCT_WORD_REFERENT_UNRESOLVED	BASE_F025_RULE_RETAINED	CLIENT_WORD_PRESENT; REFERENT_UNRESOLVED	MATERIAL / PRESERVED	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0046	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	46	канал счастливый амулет	6069	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	C02_HAPPY_AMULET_EXPLICIT_MEDIA_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0047	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	47	амулет на дзене читать	5965	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	BASE_F017_RULE_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R001|results|0048	1	S001	амулет	wordstat-86e7b86f-b118-4a08-b4bf-564b053de070	STEP_03_WORDSTAT_RAW/MANUAL__001_CURRENT_REQUERY__wordstat-86e7b86f-b118-4a08-b4bf-564b053de070.raw.txt	results	48	читать на на дзене счастливый амулет	5958	F017	Книги, аудиокниги, сериалы, фильмы и музыка	EXPLICIT_MEDIA_OR_ENTERTAINMENT_CONTEXT	C02_HAPPY_AMULET_EXPLICIT_MEDIA_RETAINED	EXPLICITLY_DIFFERENT_MEDIA_ENTITY	LOW	assignment_retained_after_full_corpus_rule_rerun=true
