v1_seed_id,v1_seed_phrase,v2_action,ambiguity_noise_class,quality_coverage_role,refinement_strategy,paired_refinement_seed_ids,rationale
S021,Велес,DEMOTE_TO_DEFERRED_CONTROL,MEDIUM,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_BUSINESS_CLASS_OR,Q007,"Named entity can produce informational demand unrelated to merchandise."
S032,Родимич,DEMOTE_TO_DEFERRED_CONTROL,MEDIUM,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_EXACT_CLIENT_QUALIFIED,Q008,"Client title explicitly says «Оберег Родимич», so bare name is weaker than exact qualified wording."
S033,Молитва Иоанн Златоуст,DEMOTE_TO_DEFERRED_CONTROL,HIGH,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_BUSINESS_CLASS_OR,Q009,"Likely dominant informational/religious demand when bare."
S034,Жива,DEMOTE_TO_DEFERRED_CONTROL,HIGH,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_BUSINESS_CLASS_OR,Q010,"Common/ambiguous short word/name; product qualification required."
S035,Сварог,DEMOTE_TO_DEFERRED_CONTROL,MEDIUM,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_BUSINESS_CLASS_OR,Q011,"Named entity has informational demand; qualified route improves product relevance."
S036,Перун,DEMOTE_TO_DEFERRED_CONTROL,MEDIUM,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_BUSINESS_CLASS_OR,Q012,"Named entity has informational demand; qualified route improves product relevance."
S038,Макошь,DEMOTE_TO_DEFERRED_CONTROL,MEDIUM,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_BUSINESS_CLASS_OR,Q013,"Named entity has informational demand; qualified route improves product relevance."
S040,Хорс,DEMOTE_TO_DEFERRED_CONTROL,HIGH,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_BUSINESS_CLASS_OR,Q014,"Short ambiguous name/term with likely unrelated interpretations."
S041,Мара,DEMOTE_TO_DEFERRED_CONTROL,HIGH,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_BUSINESS_CLASS_OR,Q015,"Short ambiguous name/word with likely unrelated interpretations."
S044,Спаси и Сохрани,DEMOTE_TO_DEFERRED_CONTROL,HIGH,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_BUSINESS_CLASS_OR,Q016,"Broad religious phrase likely dominated by non-product informational demand."
S045,Чур,DEMOTE_TO_DEFERRED_CONTROL,HIGH,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_BUSINESS_CLASS_OR,Q017,"Short ambiguous/interjection/name token; qualified route required."
S046,Герб России,DEMOTE_TO_DEFERRED_CONTROL,HIGH,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_BUSINESS_CLASS_OR,Q018,"Broad informational/state-symbol demand likely dominates bare phrase."
S096,Кровь и Песок,DEMOTE_TO_DEFERRED_CONTROL,HIGH,CONTROL_DEFERRED,REPLACE_MAIN_ROUTE_WITH_BRAND_BUSINESS_CONTEXT,Q019,"Brand phrase has strong homonym/media ambiguity; qualified brand/product route is safer."
