corrected_state	sanitation_reason_code	deterministic_basis	confidence	normalized_identity_count	raw_occurrence_count	representative_phrases	audit_oracle_agreement	source_boundary
HOLD	HOLD_AUTOMOBILE_USE_WITHOUT_SUPPORTED_PRODUCT_NOUN	AUTOMOBILE_USE_WITHOUT_SUPPORTED_PRODUCT_NOUN	medium	23	36	"[""оберегать на машину"", ""автомобильные войска"", ""сбктс на автомобиль что это"", ""a c в автомобиле что это"", ""asr что это такое в автомобиле""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
HOLD	HOLD_CATALOG_NAME_VERSUS_VEHICLE_COLLISION	CATALOG_NAME_VERSUS_VEHICLE_COLLISION	medium	24	27	"[""оберег звезда лада"", ""звезда лада значение оберега"", ""звезда лада славянский оберег"", ""звезда лада"", ""звезда лада значение""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
HOLD	HOLD_CATALOG_PRODUCT_NAME_VERSUS_RELIGIOUS_TEXT	CATALOG_PRODUCT_NAME_VERSUS_RELIGIOUS_TEXT	medium	28	28	"[""мантра аум"", ""аум медитация"", ""мантру ом аум"", ""мантра аум шри гайя"", ""мантра аум шри гайя ади""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
HOLD	HOLD_FROZEN_CATALOG_NAME_REFERENT_UNRESOLVED	FROZEN_CATALOG_NAME_REFERENT_UNRESOLVED	medium	2713	2740	"[""оберегает чур"", ""шлем ужаса эгисхьяльм"", ""вегвизир"", ""вегвизир значение"", ""вегвизир тату""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
HOLD	HOLD_GENERIC_GAME_OR_MODEL_TOKEN_NEEDS_CONTEXT	GENERIC_GAME_OR_MODEL_TOKEN_NEEDS_CONTEXT	medium	45	46	"[""амулет игра"", ""мод на амулеты"", ""амулеты id"", ""мод на амулеты кольца"", ""скачать мод на амулеты""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
HOLD	HOLD_GENERIC_MEDIA_ACTION_MAY_BE_INFORMATIONAL_PRODUCT_RESEARCH	GENERIC_MEDIA_ACTION_MAY_BE_INFORMATIONAL_PRODUCT_RESEARCH	medium	306	311	"[""амулет читать"", ""канал амулет"", ""амулет на дзене читать"", ""бесплатные амулеты"", ""амулет навигация по каналу""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
HOLD	HOLD_GENERIC_TEAM_OR_MASCOT_CONTEXT	GENERIC_TEAM_OR_MASCOT_CONTEXT	medium	2	2	"[""талисман команды"", ""какие талисман команды""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
HOLD	HOLD_INSUFFICIENT_CONTEXT_FOR_KEEP_OR_EXCLUDE	INSUFFICIENT_CONTEXT_FOR_KEEP_OR_EXCLUDE	medium	1365	1525	"[""красивые символы"", ""силуэт"", ""перстень"", ""скипетр"", ""медальон""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
HOLD	HOLD_MEDIA_TITLE_VERSUS_PRODUCT_COLLISION	MEDIA_TITLE_VERSUS_PRODUCT_COLLISION	medium	48	48	"[""астрал амулет"", ""астрал амулет зла"", ""астрал амулет зла 2025"", ""астрал амулет зла смотреть"", ""астрал амулет зла 2026""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
HOLD	HOLD_PHYSICAL_PRODUCT_VERSUS_RELIGIOUS_PRACTICE	PHYSICAL_PRODUCT_VERSUS_RELIGIOUS_PRACTICE	medium	147	148	"[""священный амулет"", ""намазки на амулеты"", ""храм амулет"", ""молитвы амулеты"", ""молитва оберег""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
HOLD	HOLD_POSSIBLE_ROSARY_MORPHOLOGY_OR_TYPO	POSSIBLE_ROSARY_MORPHOLOGY_OR_TYPO	medium	33	33	"[""текст четка"", ""четка школа"", ""четка тела"", ""четка матка"", ""четка там четка""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
HOLD	HOLD_PRODUCT_NAME_VERSUS_VEHICLE_PAINT_COLLISION	PRODUCT_NAME_VERSUS_VEHICLE_PAINT_COLLISION	medium	3	3	"[""краска зеленый амулет"", ""зеленая краска 371 амулет"", ""краска для авто амулет это какой цвет""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
HOLD	HOLD_PRODUCT_OR_CATALOG_NAME_WITH_PERSON_ENTITY_CONTEXT	PRODUCT_OR_CATALOG_NAME_WITH_PERSON_ENTITY_CONTEXT	medium	5	5	"[""четки фамилии"", ""кто такой чернобог у славян"", ""сколько лет алатырю"", ""алатырь биография"", ""кто такой даждьбог у славян""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
HOLD	HOLD_PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	PRODUCT_OR_CATALOG_NAME_WITH_PLACE_OR_ORGANIZATION	medium	140	140	"[""амулет город"", ""счастливый амулет и город"", ""счастливый амулет и город перестал"", ""счастливый амулет и город перестал дышать"", ""счастливый амулет дзен и город перестал""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
HOLD	HOLD_PRODUCT_VERSUS_ASTROLOGY_INFORMATION	PRODUCT_VERSUS_ASTROLOGY_INFORMATION	medium	132	137	"[""камни амулеты"", ""какой камень амулет"", ""амулет по дате рождения"", ""камни обереги"", ""камни обереги для женщины""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
HOLD	HOLD_SEARCH_PLATFORM_OR_MEDIA_CONTEXT_UNRESOLVED	SEARCH_PLATFORM_OR_MEDIA_CONTEXT_UNRESOLVED	medium	8	8	"[""яндекс амулет"", ""амулет яндекс дзен"", ""амулет на дзене счастливый яндекс дзен"", ""яндекс оберег"", ""яндекс четки""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
HOLD	HOLD_TITLE_LIKE_PRODUCT_WORD_COLLISION	TITLE_LIKE_PRODUCT_WORD_COLLISION	medium	168	173	"[""счастливый амулет"", ""амулет дзене"", ""амулет дзен"", ""счастливый амулет дзен"", ""счастливый амулет яндекс""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
HOLD	HOLD_ZODIAC_OR_STONE_PRODUCT_COLLISION	ZODIAC_OR_STONE_PRODUCT_COLLISION	medium	7845	8413	"[""оберегающие камни"", ""какой камень оберегает"", ""оберегающий камень скорпиона"", ""оберегающий камень тельца"", ""оберегающий камень близнецов""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
KEEP	KEEP_CATALOG_NAME_WITH_COMMERCE	CATALOG_NAME_WITH_COMMERCE	high	1	1	"[""звезда лада купить""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
KEEP	KEEP_FROZEN_CATALOG_NAME_WITH_COMMERCE_OR_OBJECT_FORM	FROZEN_CATALOG_NAME_WITH_COMMERCE_OR_OBJECT_FORM	high	76	76	"[""вегвизир браслет"", ""вегвизир подвеска"", ""браслет агисхьяльм вегвизир"", ""кулон вегвизир"", ""браслет агисхьяльм вегвизир серебряный купить""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
KEEP	KEEP_FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	FROZEN_CLIENT_PRODUCT_CLASS_WITHOUT_FOREIGN_CONTEXT	high	4706	4863	"[""амулет"", ""где амулет"", ""какой амулет"", ""купить амулет"", ""амулет 2""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
KEEP	KEEP_SUPPORTED_AUTOMOBILE_USE_PRODUCT_CONTEXT	SUPPORTED_AUTOMOBILE_USE_PRODUCT_CONTEXT	high	1	1	"[""четки в машину знак lada""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
KEEP	KEEP_SUPPORTED_PRODUCT_PLUS_ZODIAC_TITLE	SUPPORTED_PRODUCT_PLUS_ZODIAC_TITLE	high	114	119	"[""амулет зодиака"", ""камни зодиаки оберег"", ""обереги для зодиаков"", ""обереги для знаков зодиака"", ""камни обереги по знакам зодиака""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
KEEP	KEEP_SUPPORTED_PRODUCT_WITH_COMMERCE_AND_GEO_CHANNEL	SUPPORTED_PRODUCT_WITH_COMMERCE_AND_GEO_CHANNEL	high	5	5	"[""обереги москва купить"", ""купить талисманы москва"", ""вегвизир купить москва"", ""купить алатырь екатеринбург"", ""серьги пусеты молвинец купить краснодар""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
KEEP	KEEP_ZODIAC_TITLE_WITH_COMMERCE_OR_OBJECT_FORM	ZODIAC_TITLE_WITH_COMMERCE_OR_OBJECT_FORM	high	197	198	"[""купить знак зодиака"", ""подвеска знак зодиака"", ""кулон знак зодиака"", ""браслет по знаку зодиака"", ""золотые подвески знаки зодиака""]"	PASS	FROZEN_STEP03A_PLUS_CLIENT_SCOPE; NO_SERP; NO_PROVIDER_CALLS
