record_type	record_id	related_family_id	source_member_count	source_raw_occurrence_count	current_problem_or_finding	audit_classification	full_volume_evidence	audit_verdict	required_action	provider_call_made	step03b_state_changed	step04_corrected_in_this_pass
EXPANSION_QUEUE	PSQ011	PSF020	57	76	Автомобильный use-case пересекается с моделями, деталями и краской.	DEFER_TO_LATER_INTENT_OR_SERP	Its own stop logic requires a concrete Step10 collision first; no expansion is justified now.	PASS	Respect the classified gate; no action in this audit pass.	NO	NO	NO
EXPANSION_QUEUE	PSQ012	PSF010	94	102	В спросе есть формы/материалы, которых нет в заголовках Ozon.	OWNER_FACT_FIRST	Observed form/material demand cannot prove inventory; provider_needed=NO is correct.	PASS	Respect the classified gate; no action in this audit pass.	NO	NO	NO
EXPANSION_QUEUE	PSQ013	PSF011	159	173	Наблюдаются эффекты и аудитории, не подтверждённые клиентом.	OWNER_FACT_FIRST	Effects/audiences require owner-approved claim boundaries; provider_needed=NO is correct.	PASS	Respect the classified gate; no action in this audit pass.	NO	NO	NO
SANITATION_FEEDBACK	PSFB001	PSF015	543	580	Zodiac/date/compatibility/horoscope-like HOLD may contain explicit information tasks.	JUSTIFIED_CLASS_LEVEL_FEEDBACK	Full PSF015 is an explicit zodiac-information HOLD class; no Step04 state change is proposed.	PASS	Retain non-destructively.	NO	NO	NO
SANITATION_FEEDBACK	PSFB002	PSF018	558	568	Media/title/digital-action members contain unequal levels of referent proof, including current KEEP collision signals.	JUSTIFIED_CLASS_LEVEL_FEEDBACK	Full PSF018 contains heterogeneous media/title/digital referents and correctly preserves ambiguity.	PASS	Retain non-destructively.	NO	NO	NO
SANITATION_FEEDBACK	PSFB003	PSF019	96	97	Game/model tokens and catalog/game collisions remain visible, including current KEEP collision signals.	TOO_BROAD	The class is materially contaminated: 8 cited/underlying `игруш*` rows have no independent GAME signal and are Step04 rule defects.	REWORK_REQUIRED	Separate false toy/game members from the legitimate game feedback class in an approved correction pass.	NO	NO	NO
SANITATION_FEEDBACK	PSFB004	PSF020	57	76	Use-case, catalog name, vehicle model, part and paint meanings intersect.	JUSTIFIED_CLASS_LEVEL_FEEDBACK	Full PSF020 keeps automobile use versus model/part/paint collision visible.	PASS	Retain non-destructively.	NO	NO	NO
SANITATION_FEEDBACK	PSFB005	PSF021	168	168	Place/person/organization/platform/team collisions remain mixed.	JUSTIFIED_CLASS_LEVEL_FEEDBACK	Full PSF021 preserves entity/product ambiguity rather than making an entity verdict.	PASS	Retain non-destructively.	NO	NO	NO
SANITATION_FEEDBACK	PSFB006	PSF022	33	33	Possible rosary forms/typos remain unresolved after broad stem defect correction.	JUSTIFIED_CLASS_LEVEL_FEEDBACK	All 33 members are governed morphology/typo uncertainty; broad `четк*` exclusion is not restored.	PASS	Retain non-destructively.	NO	NO	NO
SANITATION_FEEDBACK	PSFB007	PSF005	132	134	Some HOLD rows have catalog name plus object/commerce support but remain referentially ambiguous.	JUSTIFIED_CLASS_LEVEL_FEEDBACK	The 132 affected PSF005 HOLD identities keep product support separate from referent proof.	PASS	Retain non-destructively.	NO	NO	NO
SANITATION_FEEDBACK	PSFB008	PSF017	234	236	Physical product, catalog title, religious text and practice collide.	JUSTIFIED_CLASS_LEVEL_FEEDBACK	Full PSF017 preserves physical object versus text/practice ambiguity.	PASS	Retain non-destructively.	NO	NO	NO
SANITATION_FEEDBACK	PSFB009	PSF024	708	855	Residual HOLD contains short fragments and possible lexical noise with no stable family referent.	JUSTIFIED_CLASS_LEVEL_FEEDBACK	Full PSF024 is correctly quarantined as residual/noise uncertainty without frequency-based deletion.	PASS	Retain non-destructively.	NO	NO	NO
SANITATION_FEEDBACK	PSFB010	PSF011	159	173	Effect/audience language includes current KEEP rows but client facts do not prove the claimed effects.	JUSTIFIED_CLASS_LEVEL_FEEDBACK	Full PSF011 requires claim/owner-fact control and makes no effectiveness assertion.	PASS	Retain non-destructively.	NO	NO	NO
ADDITIONAL_AUDIT_FINDING	AUDIT_MISSING_001	PSF001	48	48	Explicit DIY user task hidden in generic family	MISSING_MATERIAL_FEEDBACK_CLASS	48 exhaustive members carry independent DIY signals.	REWORK_REQUIRED	Record for Main ChatGPT; do not correct Step04 or mutate Step03B in this pass.	NO	NO	NO
ADDITIONAL_AUDIT_FINDING	AUDIT_MISSING_002	PSF014	199	200	Explicit meaning/media/toy tasks hidden by zodiac branch	MISSING_MATERIAL_FEEDBACK_CLASS	199 exhaustive members: 156 meaning, 38 media, 5 toy.	REWORK_REQUIRED	Record for Main ChatGPT; do not correct Step04 or mutate Step03B in this pass.	NO	NO	NO
ADDITIONAL_AUDIT_FINDING	AUDIT_MISSING_003	PSF019	8	8	Toy morphology falsely treated as game morphology	MISSING_MATERIAL_FEEDBACK_CLASS	8 exhaustive TOY-without-GAME members.	REWORK_REQUIRED	Record for Main ChatGPT; do not correct Step04 or mutate Step03B in this pass.	NO	NO	NO
