seed_id,seed_phrase,seed_class,seed_source_type,source_product_ids_or_business_fact,source_exact_terms,seed_purpose,question_to_resolve,expected_information_gain,region,planned_wordstat_mode,operator_mode,priority_for_primary_acquisition,known_noise_risk,claim_boundary,status,defer_reason,activation_condition
S077,знак зодиака Рыбы античность,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1835037959,Знак зодиака; Рыбы; Античность,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Рыбы / Античность»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S078,знак зодиака Овен античность,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1835042242,Знак зодиака; Овен; Античность,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Овен / Античность»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S079,знак зодиака Козерог античность,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1835045239,Знак зодиака; Козерог; Античность,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Козерог / Античность»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S080,знак зодиака Близнецы античность,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1835048645,Знак зодиака; Близнецы; Античность,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Близнецы / Античность»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S081,знак зодиака Лев античность,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1835050645,Знак зодиака; Лев; Античность,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Лев / Античность»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S082,знак зодиака Дева античность 2,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1835063317,Знак зодиака; Дева; Античность 2,Точечно проверить редкий клиентский маркер варианта.,Есть ли отдельная поисковая лексика вокруг варианта «Дева / Античность 2»?,Низкий до подтверждения базового спроса; единичный вариант.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S083,знак зодиака Лев символы,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1947980208,Знак зодиака; Лев; Символы,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Лев / Символы»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S084,знак зодиака Близнецы символы,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1948032144,Знак зодиака; Близнецы; Символы,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Близнецы / Символы»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S085,знак зодиака Весы символы,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1948039800,Знак зодиака; Весы; Символы,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Весы / Символы»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S086,знак зодиака Водолей символы,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1948064495,Знак зодиака; Водолей; Символы,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Водолей / Символы»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S087,знак зодиака Дева символы,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1948071647,Знак зодиака; Дева; Символы,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Дева / Символы»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S088,знак зодиака Козерог символы,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1948079096,Знак зодиака; Козерог; Символы,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Козерог / Символы»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S089,знак зодиака Овен символы,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1948085774,Знак зодиака; Овен; Символы,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Овен / Символы»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S090,знак зодиака Рак символы,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1948098351,Знак зодиака; Рак; Символы,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Рак / Символы»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S091,знак зодиака Рыбы символы,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1948107866,Знак зодиака; Рыбы; Символы,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Рыбы / Символы»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S092,знак зодиака Скорпион символы,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1948116414,Знак зодиака; Скорпион; Символы,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Скорпион / Символы»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S093,знак зодиака Стрелец символы,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1948128035,Знак зодиака; Стрелец; Символы,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Стрелец / Символы»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S094,знак зодиака Телец символы,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,1948138072,Знак зодиака; Телец; Символы,"Точечно проверить, используется ли клиентский маркер варианта в поиске.",Есть ли отдельная поисковая лексика вокруг варианта «Телец / Символы»?,Низкий/средний до появления базового спроса; поэтому отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S095,герб россии логотип,VARIANT_MARKER_DIAGNOSTIC,EXPLICIT_OZON_TITLE_TERM,2324467855,Герб России; Логотип,"Точечно проверить, несёт ли маркер «Логотип» отдельную поисковую лексику.",Есть ли релевантный товарный спрос вокруг сочетания «герб россии логотип»?,Низкий до подтверждения базового спроса по «Герб России».,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,"Variant wording is retained, but broad/base demand should be observed first to avoid low-information calls.",Activate in Step 05 if base family/sign demand exists and variant wording remains a material coverage question.
S097,Blood & Sand,BRAND,BRAND_FACT,CLIENT_BRIEF,Blood & Sand,Проверить английское написание бренда только как отдельную ветку.,Есть ли заметная поисковая лексика вокруг английского написания бренда?,Низкий/средний и высокий риск нерелевантной омонимии; отложено.,Russia,topRequests,NONE,DEFERRED_TARGETED,HIGH,DISCOVERY_PROBE_ONLY,DISCOVERY_PROBE,English brand writing has high homonym/noise risk and is secondary to Russian brand plus non-brand demand.,Activate if Russian brand probe or client need shows English spelling materially matters.
